"key","externalId","sourceExternalId","targetExternalId"
"WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-CB-9104B","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-CB-9104B","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-CB-9104B"
"WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-PCV-96163","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-PCV-96163","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-PCV-96163"
"WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-PT-96150-01","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-PT-96150-01","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-PT-96150-01"
"WMT:23-1ST STAGE COMP ENCLOSURE-PH-WMT:23-GK-9111B","WMT:23-1ST STAGE COMP ENCLOSURE-PH-WMT:23-GK-9111B","WMT:23-1ST STAGE COMP ENCLOSURE-PH","WMT:23-GK-9111B"
"WMT:23-1ST STAGE COMP ENCLOSURE-PH-WMT:23-ZS-96142B","WMT:23-1ST STAGE COMP ENCLOSURE-PH-WMT:23-ZS-96142B","WMT:23-1ST STAGE COMP ENCLOSURE-PH","WMT:23-ZS-96142B"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96106-01","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96106-01","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-FG-96106-01"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96106-03","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96106-03","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-FG-96106-03"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FO-96101","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FO-96101","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-FO-96101"
"WMT:23-1ST STAGE COMPRESSION-PH-WMT:23-VG-9101","WMT:23-1ST STAGE COMPRESSION-PH-WMT:23-VG-9101","WMT:23-1ST STAGE COMPRESSION-PH","WMT:23-VG-9101"
"WMT:23-1ST STAGE COMPRESSOR-PH-WMT:23-TT-92536","WMT:23-1ST STAGE COMPRESSOR-PH-WMT:23-TT-92536","WMT:23-1ST STAGE COMPRESSOR-PH","WMT:23-TT-92536"
"WMT:23-1ST STAGE COMPRESSOR-PH-WMT:PH-S-2217","WMT:23-1ST STAGE COMPRESSOR-PH-WMT:PH-S-2217","WMT:23-1ST STAGE COMPRESSOR-PH","WMT:PH-S-2217"
"WMT:23-CB-9103A-WMT:23-FG-96180-01","WMT:23-CB-9103A-WMT:23-FG-96180-01","WMT:23-CB-9103A","WMT:23-FG-96180-01"
"WMT:23-CB-9103A-WMT:23-FO-96180","WMT:23-CB-9103A-WMT:23-FO-96180","WMT:23-CB-9103A","WMT:23-FO-96180"
"WMT:23-CX-9101-WMT:23-PV-96130","WMT:23-CX-9101-WMT:23-PV-96130","WMT:23-CX-9101","WMT:23-PV-96130"
"WMT:23-DB-9101-WMT:23-TE-96113-03","WMT:23-DB-9101-WMT:23-TE-96113-03","WMT:23-DB-9101","WMT:23-TE-96113-03"
"WMT:23-DB-9101-WMT:23-TE-96116-01","WMT:23-DB-9101-WMT:23-TE-96116-01","WMT:23-DB-9101","WMT:23-TE-96116-01"
"WMT:23-DB-9101-WMT:23-YE-96118-01","WMT:23-DB-9101-WMT:23-YE-96118-01","WMT:23-DB-9101","WMT:23-YE-96118-01"
"WMT:23-ESDV-92501A-WMT:23-ESDP-92501A","WMT:23-ESDV-92501A-WMT:23-ESDP-92501A","WMT:23-ESDV-92501A","WMT:23-ESDP-92501A"
"WMT:23-ESDV-92501A-WMT:23-EZSH-92501A","WMT:23-ESDV-92501A-WMT:23-EZSH-92501A","WMT:23-ESDV-92501A","WMT:23-EZSH-92501A"
"WMT:23-ESDV-92501B-WMT:23-EPV-92501B","WMT:23-ESDV-92501B-WMT:23-EPV-92501B","WMT:23-ESDV-92501B","WMT:23-EPV-92501B"
"WMT:23-ESDV-92521-WMT:23-EZSH-92521","WMT:23-ESDV-92521-WMT:23-EZSH-92521","WMT:23-ESDV-92521","WMT:23-EZSH-92521"
"WMT:23-FO-96186-WMT:23-PAH-96186","WMT:23-FO-96186-WMT:23-PAH-96186","WMT:23-FO-96186","WMT:23-PAH-96186"
"WMT:23-FT-96159-WMT:23-FAH-96159","WMT:23-FT-96159-WMT:23-FAH-96159","WMT:23-FT-96159","WMT:23-FAH-96159"
"WMT:23-FT-96159-WMT:23-FI-96159","WMT:23-FT-96159-WMT:23-FI-96159","WMT:23-FT-96159","WMT:23-FI-96159"
"WMT:23-FV-92543-WMT:23-FVX-92543","WMT:23-FV-92543-WMT:23-FVX-92543","WMT:23-FV-92543","WMT:23-FVX-92543"
"WMT:23-GK-9107A-M01-WMT:23-GK-9107A-M01-14","WMT:23-GK-9107A-M01-WMT:23-GK-9107A-M01-14","WMT:23-GK-9107A-M01","WMT:23-GK-9107A-M01-14"
"WMT:23-HA-9103-WMT:23-ESDV-92501A","WMT:23-HA-9103-WMT:23-ESDV-92501A","WMT:23-HA-9103","WMT:23-ESDV-92501A"
"WMT:23-HA-9107A-WMT:23-FO-96195","WMT:23-HA-9107A-WMT:23-FO-96195","WMT:23-HA-9107A","WMT:23-FO-96195"
"WMT:23-HA-9107B-WMT:23-FG-96196","WMT:23-HA-9107B-WMT:23-FG-96196","WMT:23-HA-9107B","WMT:23-FG-96196"
"WMT:23-HA-9114-WMT:23-ESDV-92551A","WMT:23-HA-9114-WMT:23-ESDV-92551A","WMT:23-HA-9114","WMT:23-ESDV-92551A"
"WMT:23-HA-9114-WMT:23-PDT-92602","WMT:23-HA-9114-WMT:23-PDT-92602","WMT:23-HA-9114","WMT:23-PDT-92602"
"WMT:23-HA-9115-WMT:45-PT-92609","WMT:23-HA-9115-WMT:45-PT-92609","WMT:23-HA-9115","WMT:45-PT-92609"
"WMT:23-KA-9101-M01-WMT:23-KA-9101-M01-36A","WMT:23-KA-9101-M01-WMT:23-KA-9101-M01-36A","WMT:23-KA-9101-M01","WMT:23-KA-9101-M01-36A"
"WMT:23-KA-9101-M01-WMT:23-LSHH-96138","WMT:23-KA-9101-M01-WMT:23-LSHH-96138","WMT:23-KA-9101-M01","WMT:23-LSHH-96138"
"WMT:23-KA-9101-M01-WMT:23-TE-96131-01","WMT:23-KA-9101-M01-WMT:23-TE-96131-01","WMT:23-KA-9101-M01","WMT:23-TE-96131-01"
"WMT:23-KA-9101-M01-WMT:23-TE-96136-04","WMT:23-KA-9101-M01-WMT:23-TE-96136-04","WMT:23-KA-9101-M01","WMT:23-TE-96136-04"
"WMT:23-KA-9101-M01-WMT:23-TE-96136-06","WMT:23-KA-9101-M01-WMT:23-TE-96136-06","WMT:23-KA-9101-M01","WMT:23-TE-96136-06"
"WMT:23-KA-9101-M01-WMT:45-TI-92139A","WMT:23-KA-9101-M01-WMT:45-TI-92139A","WMT:23-KA-9101-M01","WMT:45-TI-92139A"
"WMT:23-KA-9101-WMT:23-KA-9101-ASP","WMT:23-KA-9101-WMT:23-KA-9101-ASP","WMT:23-KA-9101","WMT:23-KA-9101-ASP"
"WMT:23-KA-9101-WMT:23-SE-96108","WMT:23-KA-9101-WMT:23-SE-96108","WMT:23-KA-9101","WMT:23-SE-96108"
"WMT:23-KA-9101-WMT:23-TE-96103-01","WMT:23-KA-9101-WMT:23-TE-96103-01","WMT:23-KA-9101","WMT:23-TE-96103-01"
"WMT:23-KB-9103-WMT:23-PDT-96162","WMT:23-KB-9103-WMT:23-PDT-96162","WMT:23-KB-9103","WMT:23-PDT-96162"
"WMT:23-LT-92529-03-WMT:23-LAH-92529-03","WMT:23-LT-92529-03-WMT:23-LAH-92529-03","WMT:23-LT-92529-03","WMT:23-LAH-92529-03"
"WMT:23-LT-96182-02-WMT:23-LALL-96182-02","WMT:23-LT-96182-02-WMT:23-LALL-96182-02","WMT:23-LT-96182-02","WMT:23-LALL-96182-02"
"WMT:23-NI-96144-WMT:23-NY-96144","WMT:23-NI-96144-WMT:23-NY-96144","WMT:23-NI-96144","WMT:23-NY-96144"
"WMT:23-PC-9101-WMT:23-FO-96126","WMT:23-PC-9101-WMT:23-FO-96126","WMT:23-PC-9101","WMT:23-FO-96126"
"WMT:23-PC-9109-M01-WMT:23-PC-9109-M01-05","WMT:23-PC-9109-M01-WMT:23-PC-9109-M01-05","WMT:23-PC-9109-M01","WMT:23-PC-9109-M01-05"
"WMT:23-PC-9109-WMT:23-PC-9109-A01","WMT:23-PC-9109-WMT:23-PC-9109-A01","WMT:23-PC-9109","WMT:23-PC-9109-A01"
"WMT:23-PCV-96176-WMT:23-FO-96176-01","WMT:23-PCV-96176-WMT:23-FO-96176-01","WMT:23-PCV-96176","WMT:23-FO-96176-01"
"WMT:23-PDT-92502-WMT:23-PDAH-92502","WMT:23-PDT-92502-WMT:23-PDAH-92502","WMT:23-PDT-92502","WMT:23-PDAH-92502"
"WMT:23-PDT-92534-WMT:23-PDAH-92534","WMT:23-PDT-92534-WMT:23-PDAH-92534","WMT:23-PDT-92534","WMT:23-PDAH-92534"
"WMT:23-PDT-92551-WMT:23-PDI-92551","WMT:23-PDT-92551-WMT:23-PDI-92551","WMT:23-PDT-92551","WMT:23-PDI-92551"
"WMT:23-PDT-92602-WMT:23-PDAH-92602","WMT:23-PDT-92602-WMT:23-PDAH-92602","WMT:23-PDT-92602","WMT:23-PDAH-92602"
