"key","externalId","sourceExternalId","targetExternalId"
"FAO-076475-FAO-076475-1","FAO-076475-FAO-076475-1","FAO-076475","FAO-076475-1"
"FAO-077204-FAO-077204-10","FAO-077204-FAO-077204-10","FAO-077204","FAO-077204-10"
"FAO-077206-FAO-077206-30","FAO-077206-FAO-077206-30","FAO-077206","FAO-077206-30"
"FAO-077235-FAO-077235-","FAO-077235-FAO-077235-","FAO-077235","FAO-077235-"
"FAO-077524-FAO-077524-","FAO-077524-FAO-077524-","FAO-077524","FAO-077524-"
"FAO-077671-FAO-077671-","FAO-077671-FAO-077671-","FAO-077671","FAO-077671-"
"FAO-078440-FAO-078440-30","FAO-078440-FAO-078440-30","FAO-078440","FAO-078440-30"
"FAO-079009-FAO-079009-2","FAO-079009-FAO-079009-2","FAO-079009","FAO-079009-2"
"FAO-079056-FAO-079056-2","FAO-079056-FAO-079056-2","FAO-079056","FAO-079056-2"
"FAO-079316-FAO-079316-","FAO-079316-FAO-079316-","FAO-079316","FAO-079316-"
"FAO-079798-FAO-079798-10","FAO-079798-FAO-079798-10","FAO-079798","FAO-079798-10"
"FAO-081748-FAO-081748-30","FAO-081748-FAO-081748-30","FAO-081748","FAO-081748-30"
"FAO-084029-FAO-084029-","FAO-084029-FAO-084029-","FAO-084029","FAO-084029-"
"FAO-084030-FAO-084030-","FAO-084030-FAO-084030-","FAO-084030","FAO-084030-"
"FAO-084473-FAO-084473-10","FAO-084473-FAO-084473-10","FAO-084473","FAO-084473-10"
"FAO-084860-FAO-084860-30","FAO-084860-FAO-084860-30","FAO-084860","FAO-084860-30"
"FAO-086488-FAO-086488-01","FAO-086488-FAO-086488-01","FAO-086488","FAO-086488-01"
"FAO-087548-FAO-087548-","FAO-087548-FAO-087548-","FAO-087548","FAO-087548-"
"FAO-087575-FAO-087575-3","FAO-087575-FAO-087575-3","FAO-087575","FAO-087575-3"
"FAO-087617-FAO-087617-30","FAO-087617-FAO-087617-30","FAO-087617","FAO-087617-30"
"FAO-087994-FAO-087994-7","FAO-087994-FAO-087994-7","FAO-087994","FAO-087994-7"
"FAO-091112-FAO-091112-20","FAO-091112-FAO-091112-20","FAO-091112","FAO-091112-20"
"FAO-091187-FAO-091187-10","FAO-091187-FAO-091187-10","FAO-091187","FAO-091187-10"
"FAO-091201-FAO-091201-10","FAO-091201-FAO-091201-10","FAO-091201","FAO-091201-10"
"FAO-092457-FAO-092457-1","FAO-092457-FAO-092457-1","FAO-092457","FAO-092457-1"
"FAO-093550-FAO-093550-4","FAO-093550-FAO-093550-4","FAO-093550","FAO-093550-4"
"FAO-093568-FAO-093568-01","FAO-093568-FAO-093568-01","FAO-093568","FAO-093568-01"
"FAO-095482-FAO-095482-01","FAO-095482-FAO-095482-01","FAO-095482","FAO-095482-01"
"FAO-095567-FAO-095567-2","FAO-095567-FAO-095567-2","FAO-095567","FAO-095567-2"
"FAO-095585-FAO-095585-1","FAO-095585-FAO-095585-1","FAO-095585","FAO-095585-1"
"FAO-097817-FAO-097817-","FAO-097817-FAO-097817-","FAO-097817","FAO-097817-"
"FAO-098036-FAO-098036-2","FAO-098036-FAO-098036-2","FAO-098036","FAO-098036-2"
"FAO-098260-FAO-098260-","FAO-098260-FAO-098260-","FAO-098260","FAO-098260-"
"FAO-099841-FAO-099841-01","FAO-099841-FAO-099841-01","FAO-099841","FAO-099841-01"
"FAO-100256-FAO-100256-2","FAO-100256-FAO-100256-2","FAO-100256","FAO-100256-2"
"FAO-100298-FAO-100298-","FAO-100298-FAO-100298-","FAO-100298","FAO-100298-"
"FAO-100299-FAO-100299-","FAO-100299-FAO-100299-","FAO-100299","FAO-100299-"
"FAO-102007-FAO-102007-","FAO-102007-FAO-102007-","FAO-102007","FAO-102007-"
"FAO-102165-FAO-102165-01","FAO-102165-FAO-102165-01","FAO-102165","FAO-102165-01"
"FAO-102193-FAO-102193-10","FAO-102193-FAO-102193-10","FAO-102193","FAO-102193-10"
"FAO-103377-FAO-103377-01","FAO-103377-FAO-103377-01","FAO-103377","FAO-103377-01"
"FAO-103380-FAO-103380-01","FAO-103380-FAO-103380-01","FAO-103380","FAO-103380-01"
"FAO-103716-FAO-103716-","FAO-103716-FAO-103716-","FAO-103716","FAO-103716-"
"FAO-105876-FAO-105876-03","FAO-105876-FAO-105876-03","FAO-105876","FAO-105876-03"
"FAO-106111-FAO-106111-01","FAO-106111-FAO-106111-01","FAO-106111","FAO-106111-01"
"FAO-108311-FAO-108311-10","FAO-108311-FAO-108311-10","FAO-108311","FAO-108311-10"
"FAO-108811-FAO-108811-","FAO-108811-FAO-108811-","FAO-108811","FAO-108811-"
"FAO-110241-FAO-110241-","FAO-110241-FAO-110241-","FAO-110241","FAO-110241-"
"FAO-111829-FAO-111829-01","FAO-111829-FAO-111829-01","FAO-111829","FAO-111829-01"
"FAO-111841-FAO-111841-01","FAO-111841-FAO-111841-01","FAO-111841","FAO-111841-01"
"FAO-115097-FAO-115097-01","FAO-115097-FAO-115097-01","FAO-115097","FAO-115097-01"
"FAO-115679-FAO-115679-10","FAO-115679-FAO-115679-10","FAO-115679","FAO-115679-10"
"FAO-115961-FAO-115961-","FAO-115961-FAO-115961-","FAO-115961","FAO-115961-"
"FAO-117753-FAO-117753-01","FAO-117753-FAO-117753-01","FAO-117753","FAO-117753-01"
"FAO-119475-FAO-119475-","FAO-119475-FAO-119475-","FAO-119475","FAO-119475-"
"FAO-119612-FAO-119612-01","FAO-119612-FAO-119612-01","FAO-119612","FAO-119612-01"
"FAO-119615-FAO-119615-01","FAO-119615-FAO-119615-01","FAO-119615","FAO-119615-01"
"FAO-119617-FAO-119617-01","FAO-119617-FAO-119617-01","FAO-119617","FAO-119617-01"
"FAO-119620-FAO-119620-01","FAO-119620-FAO-119620-01","FAO-119620","FAO-119620-01"
"FAO-120803-FAO-120803-1","FAO-120803-FAO-120803-1","FAO-120803","FAO-120803-1"
"FAO-120850-FAO-120850-06","FAO-120850-FAO-120850-06","FAO-120850","FAO-120850-06"
"FAO-121007-FAO-121007-1","FAO-121007-FAO-121007-1","FAO-121007","FAO-121007-1"
"FAO-123527-FAO-123527-01","FAO-123527-FAO-123527-01","FAO-123527","FAO-123527-01"
"FAO-126325-FAO-126325-040","FAO-126325-FAO-126325-040","FAO-126325","FAO-126325-040"
"FAO-127818-FAO-127818-01","FAO-127818-FAO-127818-01","FAO-127818","FAO-127818-01"
"FAO-130662-FAO-130662-","FAO-130662-FAO-130662-","FAO-130662","FAO-130662-"
"FAO-131567-FAO-131567-020","FAO-131567-FAO-131567-020","FAO-131567","FAO-131567-020"
"FAO-131580-FAO-131580-","FAO-131580-FAO-131580-","FAO-131580","FAO-131580-"
"FAO-132910-FAO-132910-","FAO-132910-FAO-132910-","FAO-132910","FAO-132910-"
"FAO-135266-FAO-135266-01","FAO-135266-FAO-135266-01","FAO-135266","FAO-135266-01"
"FAO-135266-FAO-135266-02","FAO-135266-FAO-135266-02","FAO-135266","FAO-135266-02"
"FAO-135697-FAO-135697-0302","FAO-135697-FAO-135697-0302","FAO-135697","FAO-135697-0302"
"FAO-135697-FAO-135697-0306","FAO-135697-FAO-135697-0306","FAO-135697","FAO-135697-0306"
