"key","isCompleted","plannedStart","externalId","isSafetyCritical","workPackageNumber","endTime","status","durationHours","workOrderNumber","title","percentageProgress","startTime","actualHours","description","isCancelled","isActive","priorityDescription","dueDate","createdDate","programNumber"
"FAO-071979","true","2012-05-26T00:00:00","FAO-071979","NO","WPG-004844","1337790468000","600","0","FAO-071979","<PH> SMØREOLJEPRØVE KOMPRESSORER  (*** month)","100","1338015600000","4","<***> Smøreoljeprøve kompressorer  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2012-06-24T00:00:00","2012-04-11T13:16:19","PM-014055"
"FAO-073479","true","2012-06-26T00:00:00","FAO-073479","NO","WPG-004846","1340211933000","600","0","FAO-073479","<PH> SMØREOLJEPRØVE KOMPRESSORER  (*** month)","100","1340694000000","4","<***> Smøreoljeprøve kompressorer  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2012-07-25T00:00:00","2012-05-07T17:10:50","PM-014055"
"FAO-075597","true","2012-09-19T00:00:00","FAO-075597","NO","WPG-004852","1348000828000","600","0","FAO-075597","<PH> VEDLIKEHOLD AV BLOW DOWN VENTILER (*** month)","100","1348124400000","26","<***> Vedlikehold av Blow Down ventiler ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2012-10-18T00:00:00","2012-08-08T18:41:37","PM-013901"
"FAO-077029","true","2012-11-26T00:00:00","FAO-077029","NO","WPG-004857","1353091063000","600","0","FAO-077029","<PH> SMØREOLJEPRØVE KOMPRESSORER  (*** month)","100","1355986800000","1","<***> Smøreoljeprøve kompressorer  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2012-12-25T00:00:00","2012-09-25T12:57:54","PM-014055"
"FAO-077069","true","2012-10-01T00:00:00","FAO-077069","NO","WPG-005664","1351525183000","600","0","FAO-077069","<PH> CMR FOR BP FOR ROTATING EQUIPMENT (*** month)","100","1351234800000","34","ONSHORE JOB - Condition Monitoring Program (CMP) for BP for rotating equipment ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2012-10-30T00:00:00","2012-09-27T10:05:44","PM-016459"
"FAO-077181","true","2012-12-26T00:00:00","FAO-077181","NO","WPG-005361","1357648391000","600","0","FAO-077181","<PH> SMØREOLJEPRØVE KOMPRESSORER  (*** month)","100","1357628400000","6","Smøreoljeprøve kompressorer  ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-01-24T00:00:00","2012-10-22T13:46:49","PM-014055"
"FAO-077524","true","2013-06-03T00:00:00","FAO-077524","NO","WPG-005637","1371112773000","600","0","FAO-077524","SD-*** ÅRLIG ETTERSYN AV VENTILER ***. ***-KA-*** (*** MONTH","100","1371193200000","13","Årlig ettersyn av ventiler kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-08-01T00:00:00","2012-11-06T13:19:36","PM-014019"
"FAO-079301","true","2013-04-01T00:00:00","FAO-079301","NO","WPG-005367","1364958490000","600","0","FAO-079301","<PH> VEDLIKEHOLD ***-/*** FOR KOMPRESSOR ***-KA-","100","1365058800000","4","Vedlikehold ***-/*** for kompressor ***-KA-*** ","false","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-04-30T00:00:00","2012-12-03T13:10:59","PM-012508"
"FAO-080742","false","2013-04-01T00:00:00","FAO-080742","NO","WPG-005704","1367280000000","900","0","FAO-080742","<PH> CMR FOR BP FOR CONTROL VALVES (*** month)","0","1364799600000","","ONSHORE JOB - Condition Monitoring Program (CMP) for BP Engineering for Control Valves (***) ","true","false","Kan føre til produksjonsstans (utføres innen *** dager)","2013-04-30T00:00:00","2013-01-23T16:39:11","PM-016617"
"FAO-081747","false","2013-05-01T00:00:00","FAO-081747","NO","WPG-005705","1369872000000","900","0","FAO-081747","<PH> CMR FOR SCORE FOR ***-MAP (*** month)","0","1367391600000","","ONSHORE JOB - Condition Monitoring Program (CMP) for SCORE for Critical ESD Valves & Actuators (***-MAP) ","true","false","Ikke kritisk (utføres sammen med planlagt vedlikehold)","2013-05-30T00:00:00","2013-02-26T09:52:22","PM-016450"
