OBJECTID,FacilityID,InstallDate,LifeCycleStatus,LocationDescription,Comments,PumpOn,PumpOff,PumpOutDia,VFD,VFDSetting,Position,LiftStationID,PumpNumber,PumpHP,HighHeadShutOff,DesignPointHeadFT,DesignPointFlowGPM,LowHeadFT,LowHeadFlowGPM,PumpControl,PumpModel,LastUpdate,LastEditor,Enabled,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
157,CPUMP069A,2004/02/04 00:00:00+00,I,"Poplar Park - 60841 Yellow Leaf St., 97702","Col Lift Sta. #69   Poplar Park - On Honey Pod, behind 60841 Yellow Leaf St.",3844.42,3843.25,4, ,,LEAD,Poplar Park, ,10,0,86,150,77,300, ,3127.090-2569,,,1,ab4bb18c-ffd6-4392-80bb-4de9e760ec0c,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.43071178655461
158,CPUMP069B,2004/02/04 00:00:00+00,I,"Poplar Park - 60841 Yellow Leaf St., 97702","Col Lift Sta. #69   Poplar Park - On Honey Pod, behind 60841 Yellow Leaf St.",3845.33,3843.25,4, ,,LAG1,Poplar Park, ,10,0,86,150,77,300, ,3127.090-2569,,,1,9503d8f1-b3cf-4c3a-88dd-4b3b7ea7fbd2,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.06640092092218
159,CPUMP018A,2005/12/06 00:00:00+00,I,"Riviera - 1562 1st St., 97701","Col Lift Sta. #18   Riviera - Westside Pump Sta, NW Corner of Riviera Apt",3576.62,3574.2,4, ,,LEAD,Riviera, ,5,0,35.1,142,28,300, ,3102.090-0905,,,1,7b55828a-8047-47e2-b60d-156904d39149,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,3.45281902178918
160,CPUMP018B,2005/12/06 00:00:00+00,I,"Riviera - 1562 1st St., 97701","Col Lift Sta. #18   Riviera - Westside Pump Sta, NW Corner of Riviera Apt",3576.87,3574.2,4, ,,LAG1,Riviera, ,5,0,35.1,142,28,300, ,3102.090-0905,,,1,30b6f7ba-2eac-426f-ae7d-b6e80cbed3a2,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,3.21478927316356
161,CPUMP020A,1976/07/06 00:00:00+00,I,"Underwood - 224 NE Underwood Ave., 97701","Col Lift Sta. #20   Underwood - Underwood Ave, North of Backstrom Lumber",3583.67,3583.09,4, ,,LEAD,Underwood, ,3,0,23,150,17.5,225, ,0,,,1,8699d108-2b98-41b4-9f7d-1833247a739f,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,4.47689162324612
162,CPUMP020B,1976/07/06 00:00:00+00,I,"Underwood - 224 NE Underwood Ave., 97701","Col Lift Sta. #20   Underwood - Underwood Ave, North of Backstrom Lumber",3584.09,3582.84,4, ,,LAG1,Underwood, ,3,0,23,150,17.5,225, ,4NNDHLHVM3-6,,,1,fd8a739d-1ec7-4aa7-a2db-57642cb74dcd,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,4.64044287311098
163,CPUMP076A,2005/08/15 00:00:00+00,I,"Linster - 267 NW Revere Ave., 97701",Col Lift Sta. #76   Linster - West Dead-End of Revere Ave.,3576.87,3575.03,4, ,,LEAD,Linster, ,8,0,53,168,36.2,440, ,3127.090-2571,,,1,74a04224-da27-4839-a7ee-a07c08dd6db8,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,2.32394662671163
164,CPUMP076B,2005/08/15 00:00:00+00,I,"Linster - 267 NW Revere Ave., 97701",Col Lift Sta. #76   Linster - West Dead-End of Revere Ave.,3577.37,3575.03,4, ,,LAG1,Linster, ,8,0,53,168,36.2,440, ,3127.090-2571,,,1,424b8574-e037-4426-bb0e-5b41a9aef93d,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,4.06585954562717
165,CPUMP077A,1996/06/06 00:00:00+00,I,"Tumalo Heights - 2551 NW 1ST St., 97701","Col Lift Sta. #77   Tumalo Heights - Tumalo Heights, in front of 2551 NW 1ST St.",3622.17,3621.5,4, ,,LEAD,Tumalo Heights, ,8,0,66.5,120,60,220, ,S4PX750CC,,,1,065de0ff-f899-4ace-9427-ddeff92a2973,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,3.2976687454691
166,CPUMP077B,1996/06/06 00:00:00+00,I,"Tumalo Heights - 2551 NW 1ST St., 97701","Col Lift Sta. #77   Tumalo Heights - Tumalo Heights, in front of 2551 NW 1ST St.",3623.83,3621.5,4, ,,LAG1,Tumalo Heights, ,8,0,66.5,120,60,220, ,S4PX750CC,,,1,46032574-09da-4972-8514-fdde1088f083,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.12542053758902
167,CPUMP079A,1993/02/16 00:00:00+00,I,"RiversEdge - 3181 Quiet River, 97701","Col Lift Sta. #79   Riversedge - RiversEdge, in front of 3181 Quiet River",3503.83,3502.33,4, ,,LEAD,RiversEdge, ,8,0,56.6,125,50,260, ,4VHX75M4-23,,,1,cc4d67c8-4e0b-40a3-bc92-3f3a58f694ae,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,2.52062432660623
168,CPUMP079B,1993/02/16 00:00:00+00,I,"RiversEdge - 3181 Quiet River, 97701","Col Lift Sta. #79   Riversedge - RiversEdge, in front of 3181 Quiet River",3504,3502.33,4, ,,LAG1,RiversEdge, ,8,0,56.6,125,50,260, ,0,,,1,1bc57cc6-b174-4988-b1f2-672fb5c5726e,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,2.52656736148596
169,CPUMP086A,1997/04/23 00:00:00+00,I,"Service Station - 63240 Service Rd., 97701",Col Lift Sta. #86   Service Station - Service Rd. in front of 63240,3512.5,3510.33,4, ,,LEAD,Service Station, ,2,0,21.4,120,32.5,350, ,S4NX200JC,,,1,293a592e-c855-4d59-b281-d46e18339258,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,2.34665181177366
170,CPUMP086B,1997/04/23 00:00:00+00,I,"Service Station - 63240 Service Rd., 97701",Col Lift Sta. #86   Service Station - Service Rd. in front of 63240,3513.25,3510.33,3, ,,LAG1,Service Station, ,6,0,63,200,32.5,350, ,3101.090-1219,,,1,39762b16-6520-40aa-b53c-5dfaa3dd0f56,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,3.38570092191821
171,CPUMP030A,2000/08/31 00:00:00+00,I,"Highland - 63658 Hunnell Rd., 97701","Col Lift Sta. #30   Highland - Highland Comm. Park, off of Hunnell Rd.",3440.22,3437.38,4, ,,LEAD,Highland, ,25,0,138,250,130,400, ,S4KX2500EG,,,1,c1497ff4-5355-40b5-9377-1b2de5b1468e,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.34305972822226
172,CPUMP030B,2000/08/31 00:00:00+00,I,"Highland - 63658 Hunnell Rd., 97701","Col Lift Sta. #30   Highland - Highland Comm. Park, off of Hunnell Rd.",3441.05,3437.38,4, ,,LAG1,Highland, ,25,0,138,250,130,400, ,S4KX2500EG,,,1,053c876e-1dfa-4237-8b8f-afd7c473b2ac,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.48786424503765
173,CPUMP033A,2004/03/22 00:00:00+00,I,"North Wind - 63582 Stacy Ln., 97701","Col Lift Sta. #33   North Wind - North Wind Sub, 63586 Stacy Ln.",3436.08,3434.08,4, ,,LEAD,North Wind, ,20,0,99.3,275,90,520, ,4VCX200M4-23,,,1,e33ada6e-02d6-40df-9eee-6bfe350ecf30,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,11.3869089813824
174,CPUMP033B,2004/03/22 00:00:00+00,I,"North Wind - 63582 Stacy Ln., 97701","Col Lift Sta. #33   North Wind - North Wind Sub, 63586 Stacy Ln.",3436.58,3434.08,4, ,,LAG1,North Wind, ,20,0,99.3,275,90,520, ,4VCX200M4-23,,,1,139f9cac-9ebc-4a09-a4a5-0eb59d00e6d7,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,11.3034045207588
175,CPUMP035A,1998/07/08 00:00:00+00,I,"Boyd Acres - 63538 Stacy Ln., 97701","Col Lift Sta. #35   Boyd Acres - Boyd Acres View Sub, West of 20682 Nicolette Dr.",3438,3434.83,4, ,,LEAD,Boyd Acres, ,6,0,49.5,146,40,300, ,AFP 1041 M46/4-21.60,,,1,2b1f81f2-5413-43a8-b4d0-9a77e4161943,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/08/01 20:43:50+00,6.59459732705549
176,CPUMP035B,1998/07/08 00:00:00+00,I,"Boyd Acres - 63538 Stacy Ln., 97701","Col Lift Sta. #35   Boyd Acres - Boyd Acres View Sub, West of 20682 Nicolette Dr.",3438.58,3434.83,4, ,,LAG1,Boyd Acres, ,6,0,49.5,146,40,300, ,AFP 1041 M46/4-21.60,,,1,0fb2380a-c72c-45ad-b221-ceb78601f40a,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/08/01 20:43:50+00,6.7076705448093
177,CPUMP034A,2002/10/24 00:00:00+00,I,"Phoenix - 63536 St. Cloud., 97701","Col Lift Sta. #34   Phoenix - Phoenix Park Sub, Back of 63536 St. Cloud Ct.",3454,3451.17,4, ,,LEAD,Phoenix, ,15,0,83.2,300,61.8,560, ,3153.091-0506,,,1,44879c07-0e01-46ed-9c3d-3b33522de155,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,3.69802547642646
178,CPUMP034B,2002/10/24 00:00:00+00,I,"Phoenix - 63536 St. Cloud., 97701","Col Lift Sta. #34   Phoenix - Phoenix Park Sub, Back of 63536 St. Cloud Ct.",3454.75,3451.17,4, ,,LAG1,Phoenix, ,15,0,83.2,300,61.8,560, ,3153.091-0506,,,1,1ffb4107-e145-4fd4-8e5f-ad98c3504c1b,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.27699910410143
179,CPUMP036A,1995/03/31 00:00:00+00,I,"Majestic - 63331 Majestic Loop., 97701",Col Lift Sta. #36   Majestic - Majestic Subdivision,3455.5,3454.34,4,Yes,,LEAD,Majestic, ,5,0,40,260,31.5,445, ,3102.181-6403,,,1,aa6978d2-afa1-4015-bc8a-ed6962df9c86,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.90246788841146
180,CPUMP036B,1995/03/31 00:00:00+00,I,"Majestic - 63331 Majestic Loop., 97701",Col Lift Sta. #36   Majestic - Majestic Subdivision,3456,3454.34,4,Yes,,LAG1,Majestic, ,5,0,40,260,31.5,445, ,3102.181-6403,,,1,fc492c8c-bfde-4645-b998-fd6d3222e2bd,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,8.80869815198471
181,CPUMP039A,2002/04/12 00:00:00+00,I,"Empire Village - 63177 Eastview Dr., 97701","Col Lift Sta. #39   Empire Village - Empire Village, NE corner 20814 Sierra Dr.",3464.9,3463.07,3,Yes,,LEAD,Empire Village, ,3,0,16.8,208,12.6,322, ,3085.092-0669,,,1,d4db22da-a85f-4198-bd74-1226aebaadc0,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.88393321527119
182,CPUMP039B,2002/04/12 00:00:00+00,I,"Empire Village - 63177 Eastview Dr., 97701","Col Lift Sta. #39   Empire Village - Empire Village, NE corner 20814 Sierra Dr.",3465.4,3463.07,3,Yes,,LAG1,Empire Village, ,3,0,16.8,208,12.6,322, ,3085.092-0669,,,1,e879fb7b-946d-4c38-b3ed-7d42dff61d58,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.17623752526297
183,CPUMP042A,2003/10/23 00:00:00+00,I,"Summit Park - 62773 Promise Pl., 97701","Col Lift Sta. #42   Summit Park - Summit Park Sub, Back of 62773 Promise Pl.",3514.42,3512.67,4, ,,LEAD,Summit Park, ,5,0,35.5,125,30,250, ,3102.090-0780,,,1,3d0393f6-c125-439a-9892-b04715dc84ec,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.01712159328812
184,CPUMP042B,2003/10/23 00:00:00+00,I,"Summit Park - 62773 Promise Pl., 97701","Col Lift Sta. #42   Summit Park - Summit Park Sub, Back of 62773 Promise Pl.",3515.5,3512.67,4, ,,LAG1,Summit Park, ,5,0,35.5,125,30,250, ,3102.090-0780,,,1,373efca5-7ec7-4b6c-af06-6fe4bb5b9fb6,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.74248833173681
187,CPUMP045A,2002/10/23 00:00:00+00,I,"Hollow Pines #2 - 256 SE Soft Tail., 97702","Col Lift Sta. #45   Hollowpines # 2 - Hollow Pines Sub, 256 Soft Tail Dr.",3640.72,3638.47,4, ,,LEAD,Hollow Pines #2, ,5,0,59.2,95,52,200, ,S4NVX500CC,,,1,58e5f4e9-4b66-46a3-afd8-f4fc80574b5a,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,7.55026474773041
188,CPUMP045B,2002/10/23 00:00:00+00,I,"Hollow Pines #2 - 256 SE Soft Tail., 97702","Col Lift Sta. #45   Hollowpines # 2 - Hollow Pines Sub, 256 Soft Tail Dr.",3641.38,3638.47,4, ,,LAG1,Hollow Pines #2, ,5,0,59.2,95,52,200, ,S4NVX500CC,,,1,73d8f9e3-f12e-4165-862f-fc500ececae8,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,9.54039182231269
189,CPUMP044A,1999/03/26 00:00:00+00,I,"Hollow Pines - 314 SE Springer Ct., 97702","Col Lift Sta. #44   Hollow Pines - Hollow Pines Sub, Behind 314 Springer Ct.",3641.85,3639.52,3,Yes,,LEAD,Hollow Pines, ,6,0,56,140,27.5,300, ,3102.090-1163,,,1,76cd9a93-104d-4068-aae2-c3b0b7f67783,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.83133554876854
190,CPUMP044B,1999/03/26 00:00:00+00,I,"Hollow Pines - 314 SE Springer Ct., 97702","Col Lift Sta. #44   Hollow Pines - Hollow Pines Sub, Behind 314 Springer Ct.",3642.69,3639.52,3,Yes,,LAG1,Hollow Pines, ,6,0,56,140,27.5,300, ,3102.090-1163,,,1,c18c2b7a-972a-4f4b-af6f-9e26bc08be75,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.88434570028345
191,CPUMP046A,1982/09/29 00:00:00+00,I,"Renwick - 1702 SE Karena Ct., 97702","Col Lift Sta. #46   Renwick - Renwick Acres, Between 1702 and 1714 Karena Ct.",3657.3,3656.63,0, ,,LEAD,Renwick, ,3,0,0,40,0,0, ,0,,,1,abe40fe1-9046-4351-9163-cf54b4013728,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,2.18815961859414
192,CPUMP046B,1982/09/29 00:00:00+00,I,"Renwick - 1702 SE Karena Ct., 97702","Col Lift Sta. #46   Renwick - Renwick Acres, Between 1702 and 1714 Karena Ct.",3657.97,3656.63,0, ,,LAG1,Renwick, ,3,0,0,40,0,0, ,0,,,1,c409a7ee-5de5-4393-88dd-c237a33e2ca0,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,2.3693673645059
193,CPUMP047A,2003/12/09 00:00:00+00,DC,"Desert Skies - 21158 Clairaway., 97702","Col Lift Sta. #47   Desert Skies - Desert Skies Sub, Back of 21158 Clairaway Ave.",3661.27,3660.27,4, ,,LEAD,Desert Skies, ,5,0,39,185,29.5,400, ,S4NX500CC,2023/03/17 08:27:30+00,BEND\dzarate,1,0136547e-e5ee-474a-95b2-c0ab837333ca,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/17 15:27:30+00,7.77205388697287
194,CPUMP047B,2003/12/09 00:00:00+00,DC,"Desert Skies - 21158 Clairaway., 97702","Col Lift Sta. #47   Desert Skies - Desert Skies Sub, Back of 21158 Clairaway Ave.",3662.43,3660.27,4, ,,LAG1,Desert Skies, ,5,0,39,185,29.5,400, ,S4NX500CC,2023/03/17 08:27:30+00,BEND\dzarate,1,25563788-3a21-4ce3-b054-a15e859c9fcc,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/17 15:27:30+00,7.94112512796175
197,CPUMP052A,2005/06/28 00:00:00+00,DC,"Simplicity - 20800 SE Shea Ct., 97702","Col Lift Sta. #52   Simplicity - Reed Pointe Sudivision, off of SE 15th St.",3695.5,3694.17,4, ,,LEAD,Simplicity, ,8,0,55.5,200,46,440, ,S4MVX750JC,2023/03/06 08:22:16+00,BEND\dzarate,1,bcf9f1dc-bcff-4e47-afee-c378ddf76f19,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/06 16:22:16+00,5.83875040464606
198,CPUMP052B,2005/06/28 00:00:00+00,DC,"Simplicity - 20800 SE Shea Ct., 97702","Col Lift Sta. #52   Simplicity - Reed Pointe Sudivision, off of SE 15th St.",3697.83,3694.17,4, ,,LAG1,Simplicity, ,8,0,55.5,200,46,440, ,S4MVX750JC,2023/03/06 08:22:16+00,BEND\dzarate,1,5324b86e-6f67-4aed-affd-ffe23828b220,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/06 16:22:16+00,7.18736664147971
199,CPUMP058B,2007/06/18 00:00:00+00,D,"Shadow Glen - 61151 15th St., 97702",Col Lift Sta. #58   Shadow Glen - Shadow Glen Subdivision,3704.9,3700.9,3,Yes,,LAG1,Shadow Glen, ,6,0,74.8,132,50.9,261, ,3102.090-1219,2018/09/14 10:19:04+00,BEND\kwinter,1,1a8d854c-bea5-4582-9793-f257a8ef8742,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.30895206017708
200,CPUMP058A,2007/06/18 00:00:00+00,D,"Shadow Glen - 61151 15th St., 97702",Col Lift Sta. #58   Shadow Glen - Shadow Glen Subdivision,3702.9,3700.9,3,Yes,,LEAD,Shadow Glen, ,6,0,74.8,132,50.9,261, ,3102.090-1219,2018/09/14 10:19:04+00,BEND\kwinter,1,cd4b3ace-f730-4376-9283-ef75d20820ef,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.07986990954805
201,CPUMP056B,2002/02/21 00:00:00+00,D,"Ridgewater - 61241 Ridgewater Loop, 97702","Col Lift Sta. #56   Ridgewater - Ridgewater #1 Subdivision, Back of 61225 Ridgewate",3693.39,3690.81,4, ,,LAG1,Ridgewater, ,10,0,85,125,66,260, ,S4HVX1000DD,2018/09/14 08:21:52+00,BEND\kwinter,1,9de65f88-c1ff-4f15-8faa-817ff201c79c,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,9.23968128529555
202,CPUMP056A,2002/02/21 00:00:00+00,D,"Ridgewater - 61241 Ridgewater Loop, 97702","Col Lift Sta. #56   Ridgewater - Ridgewater #1 Subdivision, Back of 61225 Ridgewate",3692.56,3690.81,4, ,,LEAD,Ridgewater, ,10,0,85,125,66,260, ,S4HVX1000DD,2018/09/14 08:21:55+00,BEND\kwinter,1,dde06413-8ab6-4d54-9b16-5f31538d357d,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.05226288676674
203,CPUMP057A,2003/03/11 00:00:00+00,I,"Ridgewater #2 - 61192 Hilmer Creek Dr., 97702",Col Lift Sta. #57   Ridgewater # 2 - Ridgewater #2 Subdivision,3703.5,3700.83,3, ,,LEAD,Ridgewater #2, ,6,0,76,125,52,260, ,3102.090-1152,,,1,e215e4da-cf2c-4ec2-bf82-e7a7914b11bd,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.72660296103446
204,CPUMP057B,2003/03/11 00:00:00+00,I,"Ridgewater #2 - 61192 Hilmer Creek Dr., 97702",Col Lift Sta. #57   Ridgewater # 2 - Ridgewater #2 Subdivision,3704,3700.83,3, ,,LAG1,Ridgewater #2, ,6,0,76,125,52,260, ,3102.090-1152,,,1,d3bbd8eb-54f4-4ac9-9661-90d589f53a33,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.77861259595889
205,CPUMP055A,1995/07/17 00:00:00+00,I,"Camden - 61135 Ferguson Rd., 97702",Col Lift Sta. #55   Camden - Camden Park Subdivision,3716.7,3715.2,4, ,,LEAD,Camden, ,8,0,48,125,45,250, ,S4MX750CC,,,1,79b9ff77-d09e-445c-83c9-85dd5ff020d0,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.11660196554182
206,CPUMP055B,1995/07/17 00:00:00+00,I,"Camden - 61135 Ferguson Rd., 97702",Col Lift Sta. #55   Camden - Camden Park Subdivision,3717.2,3715.2,4, ,,LAG1,Camden, ,8,0,48,125,45,250, ,S4MX750CC,,,1,cd78f360-f555-4a6b-b353-ade12d08fcde,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,5.08191756487248
207,CPUMP089A,2011/05/01 00:00:00+00,D,"Murphy Interim - 20555 Murphy Rd., 97702","Col Lift Sta. Murphy Interim - Murphy Rd., W. of Brosterhous",3731.92,3729.75,4,Yes,,LEAD,Murphy Interim, ,30,0,147.8,352,126,700, ,3171.091-0224,2020/09/22 13:22:55+00,BEND\dzarate,1,4c52fe3a-b27a-446b-b88b-7f2126cbc730,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.70241030326064
208,CPUMP089B,2011/05/01 00:00:00+00,D,"Murphy Interim - 20555 Murphy Rd., 97702","Col Lift Sta. Murphy Interim - Murphy Rd., W. of Brosterhous",3732.67,3729.75,4,Yes,,LAG1,Murphy Interim, ,30,0,147.8,352,126,700, ,3171.091-0224,2020/09/22 13:22:17+00,BEND\dzarate,1,5e2d0990-2c26-4513-ad43-63eaa51afcd6,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2022/12/07 18:30:02.971+00,6.693166141935
209,CPUMP054A,2006/06/26 00:00:00+00,AB,"The Shire - 61300 SE Ring Bearer's Ct., 97702",Col Lift Sta. #54   The Shire - The Shire Subdivision,3754.57,3753.65,4, ,,LEAD,The Shire, ,20,0,94,200,85,400, ,S4VX2000JC,2023/03/07 13:45:12+00,BEND\dzarate,1,87977b75-3b3b-4672-b1fb-a1d79e2f1b87,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/07 21:45:12+00,6.24865958767433
210,CPUMP054B,2006/06/26 00:00:00+00,AB,"The Shire - 61300 SE Ring Bearer's Ct., 97702",Col Lift Sta. #54   The Shire - The Shire Subdivision,3755.07,3753.65,4, ,,LAG1,The Shire, ,20,0,94,200,85,400, ,S4VX2000JC,2023/03/07 13:45:12+00,BEND\dzarate,1,6fa229cb-980d-4e22-bf6a-d49a7d412763,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/03/07 21:45:12+00,6.27445362104469
211,CPUMP065A,2002/09/18 00:00:00+00,I,"Pheasant Run - 19840 Hollygrape, 97702",Col Lift Sta. #65   Pheasant Run - Corner of Hollygrape and Lodgepole,3815.13,3812.97,4,Yes,,LEAD,Pheasant Run, ,5,0,48,125,38,300, ,3102.090-1051,,,1,4a6771cc-2730-4f8f-817c-741ea37c22f9,CityofBendOR,2022/12/07 18:30:02.971+00,CityofBendOR,2023/02/16 16:18:31+00,6.68438031702623
