"key","categoryId","sourceDb","parentExternalId","updatedDate","createdDate","externalId","isCriticalLine","description","tag","areaId","isActive"
"WMT:48-PAHH-96960","1152","workmate","WMT:48-PT-96960","2015-10-06 12:28:33","2013-05-16 11:50:16","WMT:48-PAHH-96960","false","VRD - PH STG1 COMP WTR MIST RELEASED : PRESSURE ALARM HIGH HIGH","48-PAHH-96960","1004","true"
"WMT:48-XV-96960-02","1113","workmate","WMT:48-XV-96960","2015-10-08 08:48:04","2009-06-26 15:36:40","WMT:48-XV-96960-02","false","VRD - PH STG1 COMP WTR MIST WTR RLS","48-XV-96960-02","1004","true"
"WMT:23-TAL-96183","1152","workmate","WMT:23-TT-96183","2015-10-06 12:28:32","2013-05-16 11:50:16","WMT:23-TAL-96183","false","VRD - PH 1STSTG COMP OIL TANK HEATER : TEMPERATURE ALARM LOW","23-TAL-96183","1004","true"
"WMT:23-LAL-96182-02","1152","workmate","WMT:23-LT-96182-02","2015-10-06 13:14:18","2015-10-06 12:18:22","WMT:23-LAL-96182-02","false","VRD - PH 1STSTG COMP LO RES : LEVEL ALARM LOW","23-LAL-96182-02","1004","true"
"WMT:60-EN-9010B+27G2","1115","workmate","WMT:23-VA-9110-M01","2015-10-08 11:47:33","2013-05-28 11:16:05","WMT:60-EN-9010B+27G2","false","VRD - 1ST STAGE COMPRESSOR OIL SEPERATOR W/FAN","60-EN-9010B+27G2","1004","true"
"WMT:48-PI-96962A","1116","workmate","WMT:48-XV-96962","2017-01-18 07:00:21","2009-06-26 15:36:40","WMT:48-PI-96962A","false","VRD - PH STG1 COMPENCL WTR MIST CYL2","48-PI-96962A","1004","true"
"WMT:23-XY-92543-05","1152","workmate","WMT:23-FS-92543-05","2015-10-09 11:56:28","2013-04-23 10:10:49","WMT:23-XY-92543-05","false","SOFT TAG VRD - PH 1ST STG COMP MAN CMD ANTSRG","23-XY-92543-05","1004","true"
"WMT:23-TAH-96181-01","1152","workmate","WMT:23-TT-96181-01","2015-10-06 13:14:14","2015-10-06 12:18:23","WMT:23-TAH-96181-01","false","VRD - PH 1STSTG COMP LO HEADER : TEMPERATURE ALARM HIGH","23-TAH-96181-01","1004","true"
"WMT:23-GK-9107A-M01-14","1114","workmate","WMT:23-GK-9107A-M01","2015-10-09 11:56:29","2012-05-09 17:16:59","WMT:23-GK-9107A-M01-14","false","VRD - PH 1ST STG COMP ENCL CLGUNIT A","23-GK-9107A-M01-14","1004","true"
"WMT:23-TI-96136-02","1152","workmate","WMT:23-TE-96136-02","2015-10-09 11:56:30","2012-12-13 14:16:22","WMT:23-TI-96136-02","false","SOFT TAG VRD - PH 1STSTG MOTOR WINDINGS U","23-TI-96136-02","1004","true"
"WMT:23-PDI-96180","1152","workmate","WMT:23-PDT-96180","2015-10-09 11:56:26","2012-12-13 14:14:16","WMT:23-PDI-96180","false","SOFT TAG VRD - PH 1STSTG OIL FILTER","23-PDI-96180","1004","true"
"WMT:23-TAH-96181-02","1152","workmate","WMT:23-TT-96181-02","2015-10-06 13:14:14","2015-10-06 12:18:23","WMT:23-TAH-96181-02","false","VRD - PH 1STSTG COMP LO HEADER : TEMPERATURE ALARM HIGH","23-TAH-96181-02","1004","true"
"WMT:23-FAL-96141","1152","workmate","WMT:23-PSLL-96141","2015-10-09 11:56:31","2013-05-16 11:50:16","WMT:23-FAL-96141","false","SOFT TAG VRD - PH 1STSTG COMPR ENCL AIR INLET","23-FAL-96141","1004","true"
"WMT:23-YI-96133-02","1152","workmate","WMT:23-YE-96133-02","2015-10-09 11:56:31","2012-12-13 14:18:12","WMT:23-YI-96133-02","false","SOFT TAG VRD - PH 1STSTG MOTOR JOURN BRG NDE","23-YI-96133-02","1004","true"
"WMT:23-NE-96144-01","1116","workmate","WMT:23-NI-96144","2015-10-08 08:48:05","2009-10-05 17:21:12","WMT:23-NE-96144-01","false","VRD - PH 1STSTGCMP MTR PARTIAL DISCH","23-NE-96144-01","1004","true"
"WMT:23-YT-96134-01","1116","workmate","WMT:23-YE-96134-01","2013-12-09 12:53:01","2009-06-26 15:36:38","WMT:23-YT-96134-01","false","VRD - PH 1STSTG MOTOR JOURN BRG DE","23-YT-96134-01","1004","true"
"WMT:23-YI-96134-01","1152","workmate","WMT:23-YE-96134-01","2015-10-09 11:56:31","2012-12-13 14:18:12","WMT:23-YI-96134-01","false","SOFT TAG VRD - PH 1STSTG MOTOR JOURN BRG DE","23-YI-96134-01","1004","true"
"WMT:23-XT-96124","1116","workmate","WMT:23-XE-96124","2013-12-09 12:53:01","2009-06-26 15:36:37","WMT:23-XT-96124","false","VRD - PH 1STSTGGEARSHAFT1JOURNBRGDE","23-XT-96124","1004","true"
"WMT:23-TI-96112-01","1152","workmate","WMT:23-TE-96112-01","2015-10-09 11:56:30","2012-12-13 14:16:11","WMT:23-TI-96112-01","false","SOFT TAG VRD - PH 1STSTGGEAR 1 JOURNBRG NDE","23-TI-96112-01","1004","true"
"WMT:23-YT-96118-02","1116","workmate","WMT:23-YE-96118-02","2013-12-09 12:53:01","2009-06-26 15:36:38","WMT:23-YT-96118-02","false","VRD - PH 1STSTGGEAR 1 JOURNBRG NDE","23-YT-96118-02","1004","true"
"WMT:23-FE-9106-S01","1116","workmate","WMT:23-FE-9106","2015-10-08 08:48:22","2010-03-19 20:38:50","WMT:23-FE-9106-S01","false","VRD -","23-FE-9106-S01","1004","false"
"WMT:23-TAH-96116-01","1152","workmate","WMT:23-TE-96116-01","2015-10-06 13:14:14","2015-10-06 12:18:23","WMT:23-TAH-96116-01","false","VRD - PH 1STSTGGEAR THRUST BRG OUT : TEMPERATURE ALARM HIGH","23-TAH-96116-01","1004","true"
