"key","externalId","sourceExternalId","targetExternalId"
"FAO-073479-WMT:23-KA-9101","FAO-073479-WMT:23-KA-9101","FAO-073479","WMT:23-KA-9101"
"FAO-073832-WMT:48-ZSH-96966A","FAO-073832-WMT:48-ZSH-96966A","FAO-073832","WMT:48-ZSH-96966A"
"FAO-074558-WMT:23-KA-9101","FAO-074558-WMT:23-KA-9101","FAO-074558","WMT:23-KA-9101"
"FAO-075580-WMT:23-GK-9107A-A01","FAO-075580-WMT:23-GK-9107A-A01","FAO-075580","WMT:23-GK-9107A-A01"
"FAO-075580-WMT:23-KA-9101-H01","FAO-075580-WMT:23-KA-9101-H01","FAO-075580","WMT:23-KA-9101-H01"
"FAO-075580-WMT:23-VA-9110-M01","FAO-075580-WMT:23-VA-9110-M01","FAO-075580","WMT:23-VA-9110-M01"
"FAO-075581-WMT:23-FT-96159","FAO-075581-WMT:23-FT-96159","FAO-075581","WMT:23-FT-96159"
"FAO-075581-WMT:23-FY-92543-03","FAO-075581-WMT:23-FY-92543-03","FAO-075581","WMT:23-FY-92543-03"
"FAO-075581-WMT:23-PDT-96180","FAO-075581-WMT:23-PDT-96180","FAO-075581","WMT:23-PDT-96180"
"FAO-075581-WMT:23-PSLL-96141","FAO-075581-WMT:23-PSLL-96141","FAO-075581","WMT:23-PSLL-96141"
"FAO-075581-WMT:23-PT-92532","FAO-075581-WMT:23-PT-92532","FAO-075581","WMT:23-PT-92532"
"FAO-075581-WMT:23-PT-92537","FAO-075581-WMT:23-PT-92537","FAO-075581","WMT:23-PT-92537"
"FAO-075581-WMT:23-PT-96150-02","FAO-075581-WMT:23-PT-96150-02","FAO-075581","WMT:23-PT-96150-02"
"FAO-075581-WMT:23-PT-96156-02","FAO-075581-WMT:23-PT-96156-02","FAO-075581","WMT:23-PT-96156-02"
"FAO-075581-WMT:23-PT-96160-01","FAO-075581-WMT:23-PT-96160-01","FAO-075581","WMT:23-PT-96160-01"
"FAO-075581-WMT:23-TT-96181-01","FAO-075581-WMT:23-TT-96181-01","FAO-075581","WMT:23-TT-96181-01"
"FAO-075581-WMT:23-YE-96105-01","FAO-075581-WMT:23-YE-96105-01","FAO-075581","WMT:23-YE-96105-01"
"FAO-075581-WMT:23-YE-96120-02","FAO-075581-WMT:23-YE-96120-02","FAO-075581","WMT:23-YE-96120-02"
"FAO-075581-WMT:23-YE-96133-02","FAO-075581-WMT:23-YE-96133-02","FAO-075581","WMT:23-YE-96133-02"
"FAO-075581-WMT:23-YE-96134-02","FAO-075581-WMT:23-YE-96134-02","FAO-075581","WMT:23-YE-96134-02"
"FAO-075581-WMT:23-YT-96119-01","FAO-075581-WMT:23-YT-96119-01","FAO-075581","WMT:23-YT-96119-01"
"FAO-075581-WMT:23-YT-96120-02","FAO-075581-WMT:23-YT-96120-02","FAO-075581","WMT:23-YT-96120-02"
"FAO-075581-WMT:23-YT-96133-01","FAO-075581-WMT:23-YT-96133-01","FAO-075581","WMT:23-YT-96133-01"
"FAO-075581-WMT:23-YT-96133-02","FAO-075581-WMT:23-YT-96133-02","FAO-075581","WMT:23-YT-96133-02"
"FAO-075581-WMT:23-ZE-96121-02","FAO-075581-WMT:23-ZE-96121-02","FAO-075581","WMT:23-ZE-96121-02"
"FAO-075581-WMT:45-FT-92139A","FAO-075581-WMT:45-FT-92139A","FAO-075581","WMT:45-FT-92139A"
"FAO-075581-WMT:48-XY-96966A","FAO-075581-WMT:48-XY-96966A","FAO-075581","WMT:48-XY-96966A"
"FAO-075581-WMT:48-ZSL-96966B","FAO-075581-WMT:48-ZSL-96966B","FAO-075581","WMT:48-ZSL-96966B"
"FAO-075597-WMT:23-YSV-92526","FAO-075597-WMT:23-YSV-92526","FAO-075597","WMT:23-YSV-92526"
"FAO-075662-WMT:23-KA-9101","FAO-075662-WMT:23-KA-9101","FAO-075662","WMT:23-KA-9101"
"FAO-077044-WMT:48-LG-96960","FAO-077044-WMT:48-LG-96960","FAO-077044","WMT:48-LG-96960"
"FAO-077044-WMT:48-XI-96964B","FAO-077044-WMT:48-XI-96964B","FAO-077044","WMT:48-XI-96964B"
"FAO-077064-WMT:23-ESDV-92501B","FAO-077064-WMT:23-ESDV-92501B","FAO-077064","WMT:23-ESDV-92501B"
"FAO-077064-WMT:23-EXY-92551A-03","FAO-077064-WMT:23-EXY-92551A-03","FAO-077064","WMT:23-EXY-92551A-03"
"FAO-077064-WMT:23-HS-92551B-05","FAO-077064-WMT:23-HS-92551B-05","FAO-077064","WMT:23-HS-92551B-05"
"FAO-077064-WMT:23-LEX-92529","FAO-077064-WMT:23-LEX-92529","FAO-077064","WMT:23-LEX-92529"
"FAO-077064-WMT:23-PDT-92501","FAO-077064-WMT:23-PDT-92501","FAO-077064","WMT:23-PDT-92501"
"FAO-077064-WMT:23-PT-92501B-11","FAO-077064-WMT:23-PT-92501B-11","FAO-077064","WMT:23-PT-92501B-11"
"FAO-077064-WMT:23-PT-92512","FAO-077064-WMT:23-PT-92512","FAO-077064","WMT:23-PT-92512"
"FAO-077064-WMT:45-FT-92606","FAO-077064-WMT:45-FT-92606","FAO-077064","WMT:45-FT-92606"
"FAO-077064-WMT:45-PDT-92506","FAO-077064-WMT:45-PDT-92506","FAO-077064","WMT:45-PDT-92506"
"FAO-077070-WMT:23-ESDV-92551A","FAO-077070-WMT:23-ESDV-92551A","FAO-077070","WMT:23-ESDV-92551A"
"FAO-077072-WMT:23-PV-96153","FAO-077072-WMT:23-PV-96153","FAO-077072","WMT:23-PV-96153"
"FAO-077182-WMT:23-KA-9101","FAO-077182-WMT:23-KA-9101","FAO-077182","WMT:23-KA-9101"
"FAO-077207-WMT:23-ESDV-92501B","FAO-077207-WMT:23-ESDV-92501B","FAO-077207","WMT:23-ESDV-92501B"
"FAO-077235-WMT:23-GK-9111B","FAO-077235-WMT:23-GK-9111B","FAO-077235","WMT:23-GK-9111B"
"FAO-077235-WMT:48-ZSH-96966B","FAO-077235-WMT:48-ZSH-96966B","FAO-077235","WMT:48-ZSH-96966B"
"FAO-077524-WMT:23-FY-92543","FAO-077524-WMT:23-FY-92543","FAO-077524","WMT:23-FY-92543"
"FAO-077524-WMT:23-PV-96153","FAO-077524-WMT:23-PV-96153","FAO-077524","WMT:23-PV-96153"
"FAO-078433-WMT:23-KA-9101","FAO-078433-WMT:23-KA-9101","FAO-078433","WMT:23-KA-9101"
"FAO-078436-WMT:23-TV-92504","FAO-078436-WMT:23-TV-92504","FAO-078436","WMT:23-TV-92504"
"FAO-078437-WMT:23-PV-96153","FAO-078437-WMT:23-PV-96153","FAO-078437","WMT:23-PV-96153"
"FAO-078437-WMT:23-TV-92604B","FAO-078437-WMT:23-TV-92604B","FAO-078437","WMT:23-TV-92604B"
"FAO-078439-WMT:23-ESDV-92551A","FAO-078439-WMT:23-ESDV-92551A","FAO-078439","WMT:23-ESDV-92551A"
"FAO-078444-WMT:23-TV-92504","FAO-078444-WMT:23-TV-92504","FAO-078444","WMT:23-TV-92504"
"FAO-078970-WMT:23-TE-96101-04","FAO-078970-WMT:23-TE-96101-04","FAO-078970","WMT:23-TE-96101-04"
"FAO-078970-WMT:23-TE-96102-04","FAO-078970-WMT:23-TE-96102-04","FAO-078970","WMT:23-TE-96102-04"
"FAO-078970-WMT:23-TE-96111-02","FAO-078970-WMT:23-TE-96111-02","FAO-078970","WMT:23-TE-96111-02"
"FAO-078970-WMT:23-TE-96131-02","FAO-078970-WMT:23-TE-96131-02","FAO-078970","WMT:23-TE-96131-02"
"FAO-078970-WMT:23-YT-96123","FAO-078970-WMT:23-YT-96123","FAO-078970","WMT:23-YT-96123"
"FAO-079006-WMT:23-EZSL-92551B","FAO-079006-WMT:23-EZSL-92551B","FAO-079006","WMT:23-EZSL-92551B"
"FAO-079009-WMT:23-EXY-92521-05","FAO-079009-WMT:23-EXY-92521-05","FAO-079009","WMT:23-EXY-92521-05"
"FAO-079056-WMT:23-ESDV-92501A","FAO-079056-WMT:23-ESDV-92501A","FAO-079056","WMT:23-ESDV-92501A"
"FAO-079071-WMT:23-TV-92604B","FAO-079071-WMT:23-TV-92604B","FAO-079071","WMT:23-TV-92604B"
"FAO-079076-WMT:23-YXY-92445-05","FAO-079076-WMT:23-YXY-92445-05","FAO-079076","WMT:23-YXY-92445-05"
"FAO-079301-WMT:48-XY-96966B","FAO-079301-WMT:48-XY-96966B","FAO-079301","WMT:48-XY-96966B"
"FAO-079301-WMT:48-ZSH-96966B","FAO-079301-WMT:48-ZSH-96966B","FAO-079301","WMT:48-ZSH-96966B"
"FAO-079301-WMT:48-ZSL-96966B","FAO-079301-WMT:48-ZSL-96966B","FAO-079301","WMT:48-ZSL-96966B"
"FAO-079799-WMT:23-ESDV-92501A","FAO-079799-WMT:23-ESDV-92501A","FAO-079799","WMT:23-ESDV-92501A"
"FAO-079802-WMT:23-ESDV-92551B","FAO-079802-WMT:23-ESDV-92551B","FAO-079802","WMT:23-ESDV-92551B"
"FAO-079803-WMT:23-LV-92521A","FAO-079803-WMT:23-LV-92521A","FAO-079803","WMT:23-LV-92521A"
"FAO-080739-WMT:23-KA-9101","FAO-080739-WMT:23-KA-9101","FAO-080739","WMT:23-KA-9101"
"FAO-080741-WMT:23-ESDV-92521","FAO-080741-WMT:23-ESDV-92521","FAO-080741","WMT:23-ESDV-92521"
"FAO-080742-WMT:23-LV-92521B","FAO-080742-WMT:23-LV-92521B","FAO-080742","WMT:23-LV-92521B"
"FAO-080742-WMT:23-TV-92604B","FAO-080742-WMT:23-TV-92604B","FAO-080742","WMT:23-TV-92604B"
"FAO-080743-WMT:23-PV-96153","FAO-080743-WMT:23-PV-96153","FAO-080743","WMT:23-PV-96153"
