startTime,endTime,type,subtype,source,assetExternalIds,source,sourceId,WORKORDER_DESC,WORKORDER_TITLE,MODPROJECT_TITLE,PMPROGRAM_NUMBER,WORKORDER_NUMBER,WORKORDER_STATUS,WORKPACKAGE_NAME,MODPROJECT_NUMBER,WORKORDER_DUEDATE,WORKORDER_COSTCODE,WORKORDER_ISACTIVE,WORKPACKAGE_NUMBER,WORKORDER_STATUSDESC,WORKORDER_CREATEDDATE,WORKORDER_ITEMSYSTEMS,WORKORDER_PLANNEDSTART,WORKORDER_PRIORITYDESC,WORKORDER_SHUTDOWNDESC,WORKORDER_DURATIONHOURS,WORKORDER_INTERVALVALUE,WORKORDER_TYPEANDMETHOD,WORKORDER_COMPLETIONDATE,WORKORDER_MAITENANCETYPE,WORKORDER_SCHEDULEDSTART,WORKORDER_SUMACTUALHOURS,WORKORDER_DESTINATIONAREA,WORKORDER_FAILUREMODECODE,WORKORDER_FAILUREMODENAME,WORKORDER_NOOFREPAIRITEMS,WORKORDER_TISLOCATIONCODE,WORKORDER_TISLOCATIONNAME,WORKORDER_HASCHECKLISTITEM,WORKORDER_INTERVALTYPECODE,WORKORDER_INTERVALTYPENAME,WORKORDER_INTERVALTYPEUNIT,WORKORDER_ISSAFETYCRITICAL,WORKORDER_MAITENANCEMETHOD,WORKORDER_OBSERVMETHODCODE,WORKORDER_OBSERVMETHODNAME,WORKORDER_STATUSACTIVEFLAG,WORKORDER_SUMESTIMATEHOURS,WORKORDER_ITEMINVOLVEDAREAS,WORKORDER_REQMATERIALSTATUS,WORKORDER_STATUSISCANCELLED,WORKORDER_STATUSISCOMPLETED,WORKORDER_STATUSLASTCHANGED,WORKORDER_SUMREMAININGHOURS,WORKORDER_LEADDISCIPLINEDESC,WORKORDER_PERCENTAGEPROGRESS,WORKORDER_CONDITIONBEFORECODE,WORKORDER_CONDITIONBEFORENAME,WORKORDER_GENERATEDBYPMPROGRAM,WORKORDER_HASSAFETYCRITCALPROC,WORKORDER_RETURNMATERIALSTATUS
1199872438000,1217332520000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,2989041978933945,*** av *** *** etter ***.,*** *** AV *** *** ETTER ***.,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-009426,600, VRD ***-*** ***,AFA-003650,,,NO,WPG-003036,Avsluttet,2008-01-09T09:53:58,,2007-12-01T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Under drift,0,,MOD - Corrective,2008-07-29T11:55:20,MOD,,,,,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,58,"VAL,B00",No need,NO,YES,2008-07-29T11:55:20,0,Prosjekt,100,,,NO,NO,No need
1213103488000,1240915462000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,719077397412648,*** av *** og ***.,***. AV SAMPLING *** ***,"PRØVETAKING DP, ENDRING AV EKSISTERENDE MANIFOLD (DP)",,MAO-009951,600,"SAMPLING *** DP, *** OF *** ***",AFA-003582,,BPN-VAD-AJ-MOLH---,NO,WPG-003574,Avsluttet,2008-06-10T13:11:28,,,Ikke kritisk (utføres sammen med planlagt vedlikehold),,0,,MOD - Corrective,2009-04-28T10:44:22,MOD,,,"VALHALL DP, STOCK",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,22,"VAL,B00",No need,NO,YES,2009-04-28T10:44:22,0,Mekanisk,100,,,NO,NO,No need
1221477920000,1240915480000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,2700508377280213,***. AV *** ***,***. AV *** ***,"PRØVETAKING DP, ENDRING AV EKSISTERENDE MANIFOLD (DP)",,MAO-010197,600,"SAMPLING *** DP, *** OF *** ***",AFA-003582,,BPN-VAD-AJ-MOLH---,NO,WPG-003574,Avsluttet,2008-09-15T11:25:20,,,Ikke kritisk (utføres sammen med planlagt vedlikehold),,0,,MOD - Corrective,2009-04-28T10:44:40,MOD,,,"VALHALL DP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,16,"VAL,B00",No need,NO,YES,2009-04-28T10:44:40,0,Mekanisk,100,,,NO,NO,No need
1231767840000,1436356173000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,7870874683634817,"*** ***, *** ,*** & *** (*** over *** *** *** - *** & ***). ","*** ***, *** ,*** & *** (*** OVER *** *** *** - *** & ***). ","INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-010613,600, VRD ***-*** ***,AFA-003650,,,NO,WPG-003036,Avsluttet,2009-01-12T13:44:00,,2009-01-16T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),,0,,MOD - Corrective,2015-07-08T11:49:33,MOD,,40,"VALHALL PCP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,100,"VAL,B00",No need,NO,YES,2015-07-08T11:49:33,100,Prosjekt,0,,,NO,NO,No need
1236243378000,1436347185000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,7762030146049059,Installation - WP *** - ***-Up to *** *** TEST LINE,***--INSTALLATION - WP ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-010959,600,,AFA-003650,,,NO,,Avsluttet,2009-03-05T08:56:18,,2009-05-27T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-08T09:19:45,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,52,"VAL,B00",No need,NO,YES,2015-07-08T09:19:45,52,Prosjekt,0,,,NO,NO,No need
1236243667000,1255247603000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,4577332412271841,Installation - WP *** - ***-Up to *** ***  ***,***-INSTALLATION - WP *** - ***-UP TO *** ***  ***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-010960,600,,AFA-003650,,,NO,,Avsluttet,2009-03-05T09:01:07,,2009-05-27T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-10-11T07:53:23,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,25,"VAL,B00",No need,NO,YES,2009-10-11T07:53:23,0,Prosjekt,100,,,NO,NO,No need
1240556375000,1251877514000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,3625801122941118,*** INSTALLASJON - *** Up *** H05 MC: ***-***,*** INSTALLASJON - *** UP *** H05 MC: ***-***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011211,600,,AFA-003650,,,NO,,Avsluttet,2009-04-24T06:59:35,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),,0,,MOD - Corrective,2009-09-02T07:45:14,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,16,"VAL,B00",No need,NO,YES,2009-09-02T07:45:14,0,Prosjekt,100,,,NO,NO,No need
1240556819000,1251877399000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,6071033972649570,*** INSTALLASJON - *** Up *** H05 MC: ***-***,*** INSTALLASJON - *** UP *** H05 MC: ***-***,"INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011212,600,,AFA-003650,,,NO,,Avsluttet,2009-04-24T07:06:59,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),,0,,MOD - Corrective,2009-09-02T07:43:19,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,14,"VAL,B00",No need,NO,YES,2009-09-02T07:43:19,0,Prosjekt,100,,,NO,NO,No need
1240926743000,1436348469000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,8130609591965494,"INSTALLASJON - H05 SPOOL ***,***-CE-***-*** MC: ***-***","***-INSTALLASJON - H05 SPOOL ***,***-CE-***-*** ","INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011252,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T13:52:23,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-08T09:41:09,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,12,"VAL,B00",No need,NO,YES,2015-07-08T09:41:09,12,Prosjekt,0,,,NO,NO,No need
1240926991000,1436346849000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,8607699347648312,"INSTALLASJON - H05 SPOOL ***,***-CE-***-*** MC: ***-***","***-INSTALLASJON - H05 SPOOL ***,***-CE-***-*** MC: ***","INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011253,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T13:56:31,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2015-07-08T09:14:09,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,12,"VAL,B00",No need,NO,YES,2015-07-08T09:14:09,12,Prosjekt,0,,,NO,NO,No need
1240926997000,1252177304000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,6326853676290653,"INSTALLASJON - H05 SPOOL ***,***-CE-***-*** MC: ***-***","***-INSTALLASJON - H05 SPOOL ***,***-CE-***-*** MC: ***","INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011254,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T13:56:37,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),Utstyrs nedstenging,0,,MOD - Corrective,2009-09-05T19:01:44,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,16,"VAL,B00",No need,NO,YES,2009-09-05T19:01:44,0,Prosjekt,100,,,NO,NO,No need
1240927311000,1264182786000.0,Workorder,VAL,akerbp-cdp,WMT:VAL,akerbp-cdp,8668313498521214,"INSTALLASJON - H05 SPOOL ***,***-***-***-*** MC: ***-***","***-INSTALLASJON - H05 SPOOL ***,***-***-***-*** MC: ***","INSTALLATION OF THE VRD BROWNFIELD MODIFICATIONS TO DP,PCP,WP,IP",,MAO-011255,600,,AFA-003650,,,NO,,Avsluttet,2009-04-28T14:01:51,,2009-06-26T00:00:00,Ikke kritisk (utføres sammen med planlagt vedlikehold),,0,,MOD - Corrective,2010-01-22T17:53:06,MOD,,,"VALHALL WP, OTL-M",,,0,VAL,Valhall plattform,NO,,,,NO,COR,,,NOTACTIVE,16,"VAL,B00",No need,NO,YES,2010-01-22T17:53:06,0,Prosjekt,100,,,NO,NO,No need
