externalId,name,isString,isStep,description,securityCategories,assetExternalId,compdev,location5,pointtype,convers,descriptor,contextMatchString,contextClass,digitalset,zero,filtercode,compdevpercent,compressing,tag,srcptid,displaydigits,recno,excdev,userreal2,userreal1,contextAlgorithm,totalcode,ptclassname,typicalvalue,pointid,pointsource,location1,location2,location3,location4,shutdown,compmin,ptclassrev,scan,userint2,userint1,excdevpercent,archiving,instrumenttag,compmax,ptclassid,squareroot,sourcetag,excmin,contextConfidenceScore,exdesc,contextAgent,future,excmax,step,engunits,span,_replicatedSource,_replicatedTime,_replicatedInternalId,context2ndEntityMatchConfScore,contextEntityMatchNGramScore,context2ndEntityMatchExtId,contextEntityMatchJaroWinklerScore,context1stEntityMatchConfScore,context1stEntityMatchExtId,unit
pi:160627,VAL_23-PDT-92501:X.Value,False,False,PH 1stStgSuctCool Gas In ESDV,[],WMT:23-PDT-92501,0,2,Float32,1,PH 1stStgSuctCool Gas In ESDV,23-PDT-92501,VAL,,0,0,0,0,VAL_23-PDT-92501:X.Value,0,-5,145127,0,0,0,Exact match,0,classic,50,160627,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PDT-92501:X.Value,3600,2,0,,0,1,,PI contextualization pipeline,0,0,0,,100,akerbp,1678880576000,1431988443493825,,,,,,,
pi:161021,VAL_23-YA-96118-02:Z.X.Value,False,False,PH 1stStg Gear1 Journ BRG NDE,[],WMT:23,0,0,Float32,1,PH 1stStg Gear1 Journ BRG NDE,23-YA-96118-02,VAL,,0,0,0,0,VAL_23-YA-96118-02:Z.X.Value,0,-5,145521,0,0,0,"Entity match, VAL",0,classic,50,161021,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96118-02:Z.X.Value,28800,2,0,,0,0.8261190836287645,,PI contextualization pipeline,0,600,0,,100,akerbp,1678880576000,7359485224531369,-1,0.0714285746216774,N/A,0.965986396585192,0.8261190836287645,VAL_23-YT-96118-02,
pi:160252,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,False,False,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),[],WMT:23-KA-9101-M01,0,0,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),23-KA-9101-M01,VAL,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,0,-5,144752,0,0,0,Exact match,0,classic,0,160252,LAB-WAS-VAL3P,1,2,1,1,0,0,1,0,0,0,0,1,23-KA-9101-M01_OC_low stage_NOC3low:VALUE,28800,2,0,,0,1,,PI contextualization pipeline,0,600,1,,1,akerbp,1678880576000,7381799442465249,,,,,,,
pi:160731,VAL_23-PT-96186:Z.X1.Value,False,False,PH 1st Stg Oil Header,[],WMT:23-PT-96186-01,0,2,Float32,1,PH 1st Stg Oil Header,23-PT-96186,VAL,,0,0,0,0,VAL_23-PT-96186:Z.X1.Value,0,-5,145231,0,0,0,"Entity match, VAL",0,classic,50,160731,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96186:Z.X1.Value,3600,2,0,,0,0.8484254108062801,,PI contextualization pipeline,0,0,0,,100,akerbp,1678880576000,2319639709151296,-1,0.2142857164144516,N/A,0.9846938720771244,0.8484254108062801,VAL_23-PT-96186-03,
pi:160031,VAL_23_FIC_92543_02:Z.X.Value,False,False,PH 1stStgComp AntSrg Act CntrlMod,[],WMT:23-FIC-92543,0,2,Float32,1,PH 1stStgComp AntSrg Act CntrlMod,23_FIC_92543,VAL,,0,0,0,0,VAL_23_FIC_92543_02:Z.X.Value,0,-5,144531,0,0,0,"Entity match, VAL",0,classic,50,160031,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FIC_92543_02:Z.X.Value,3600,2,0,,0,0.75,,PI contextualization pipeline,0,0,0,,100,akerbp,1678880576000,1291900391428872,0.6443012655743485,0.1666666716337204,VAL_23-FIC-92543-01,0.9074073632558187,0.75,VAL_23-FIC-92543,
pi:161024,VAL_23-YA-96120-01:Z.X.Value,False,False,PH 1stStg Gear2 Journ BRG DE,[],WMT:23,0,0,Float32,1,PH 1stStg Gear2 Journ BRG DE,23-YA-96120-01,VAL,,0,0,0,0,VAL_23-YA-96120-01:Z.X.Value,0,-5,145524,0,0,0,"Entity match, VAL",0,classic,50,161024,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96120-01:Z.X.Value,28800,2,0,,0,0.8261190836287645,,PI contextualization pipeline,0,600,0,,100,akerbp,1678880576000,2283684979682599,-1,0.0714285746216774,N/A,0.965986396585192,0.8261190836287645,VAL_23-YT-96120-01,
pi:160920,VAL_23-TT-96115-01:Z.X.Value,False,False,PH 1stStg Gear Thrust BRG IN,[],WMT:23,0,0,Float32,1,PH 1stStg Gear Thrust BRG IN,23-TT-96115-01,VAL,,0,0,0,0,VAL_23-TT-96115-01:Z.X.Value,0,-5,145420,0,0,0,Root classifier,0,classic,50,160920,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96115-01:Z.X.Value,28800,2,0,,0,1,,PI contextualization pipeline,0,600,0,,100,akerbp,1678880576000,6841682696663856,-1,0.1875,N/A,0.9352678805589676,0.6959700166287586,VAL_23-TAHH-96115-01,
pi:160574,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,False,False,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,[],WMT:23-LE-92529,0,2,Float32,1,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,23-LY-92529,VAL,,0,0,0,0,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,0,-5,145074,0,0,0,Root classifier,0,classic,50,160574,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_SILch0_SC0_TYSP:VALUE,3600,2,0,,0,1,,PI contextualization pipeline,0,0,0,,100,akerbp,1678880576000,3522772013034470,-1,0.2083333283662796,N/A,0.9520201881726583,0.5981169102857573,VAL_23-LY-92621A,
pi:160061,VAL_23_FT_92537_03:Z.X.Value,False,False,PH 1stStgComp Flow,[],WMT:23,0,2,Float32,1,PH 1stStgComp Flow,23_FT_92537,VAL,,0,0,0,0,VAL_23_FT_92537_03:Z.X.Value,0,-5,144561,0,0,0,Root classifier,0,classic,50,160061,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FT_92537_03:Z.X.Value,3600,2,0,,0,1,,PI contextualization pipeline,0,0,0,,100,akerbp,1678880576000,8635841543797800,-1,0.3571428656578064,N/A,0.8460111618041992,0.6443012655743485,VAL_23-FT-92537-02,
pi:160060,VAL_23_FT_92537_02:Z.X.Value,False,False,PH 1stStgComp Discharge,[],WMT:23,0,2,Float32,1,PH 1stStgComp Discharge,23_FT_92537,VAL,,0,0,0,0,VAL_23_FT_92537_02:Z.X.Value,0,-5,144560,0,0,0,Root classifier,0,classic,50,160060,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FT_92537_02:Z.X.Value,3600,2,0,,0,1,,PI contextualization pipeline,0,0,0,,100,akerbp,1678880576000,2310142689596435,-1,0.3571428656578064,N/A,0.8460111618041992,0.6443012655743485,VAL_23-FT-92537-02,
