startTime,endTime,type,subtype,source,assetExternalIds,WORKPACKAGE_NOOFWORKORDERS,WORKPACKAGE_STATUS,WORKPACKAGE_WOSUMESTIMATE,WORKPACKAGE_WOSUMREMAINING,WORKPACKAGE_PERCENTAGEPROGRESS,WORKPACKAGE_SCHEDULEDFINISH,WORKPACKAGE_SCHEDULEDSTART,WORKPACKAGE_WOEARLIESTSCHEDU,MODPROJECT_NUMBER,WORKPACKAGE_NUMBER,ITEMNAMES,WORKORDERNUMBERS,WORKPACKAGE_TISLOCATIONCODE,WORKPACKAGE_TISLOCATIONNAME,WORKPACKAGE_STATUSISCANCELLED,WORKPACKAGE_STATUSISCOMPLETED,WORKPACKAGE_STATUSDESC,MODPROJECT_TITLE,WORKPACKAGE_NAME,WORKPACKAGE_DESC,source,sourceId
0.0,0.0,Workpackage,VAL,akerbp-cdp,WMT:23-KA-9101-M01;WMT:23-KA-9101;WMT:23-DB-9101,29,200,814,87,89,,,2019-01-01T00:00:00,,WPG-009220,"00,46-PA-8004,46-KA-8004,65-GK-9564B,65-GK-9564A,65-GK-9702B,65-GK-9564A-M01,65-GK-9900B,65-GK-9701B-M01,65-GK-9900A,65-GK-9702B-M01,65-GK-9702A-M01,65-GK-9701B,65-GK-9701A-M01,65-GK-9701A,65-GK-9564B-M01,47-PA-9815,47-PA-9810B,47-PA-9810A,47-KC-9800B,47-KC-9800A,80-PA-8015B,80-PA-8015A,85-PB-9134B-M01,85-PB-9134A-M01,85-PA-9162-M01,85-PA-9162,85-PA-9135B,85-PA-9135A,85-PA-9134,85-PA-9133,85-PA-9118B,85-PA-9118A,84-PX-9101B-M01,84-PX-9101A-M01,81-PA-9115B,81-PA-9115A,81-PA-9113B,81-PA-9113A,65-GK-9900B-M01,65-GK-9900A-M01,60-EG-9103,60-EG-9102,48-PA-9117B,48-PA-9117A,47-PA-9140,47-PA-9108B,47-PA-9108A,47-PA-9107B,47-PA-9107A,45-PA-9106B-M01,45-PA-9106B,45-PA-9106A-M01,45-PA-9106A,40-PA-9145,40-PA-9105B,40-PA-9105A,32-PB-9115B,32-PB-9115A,31-PA-9124B,31-PA-9124A,31-PA-9104B,31-PA-9104A,27-KA-9104-M01,27-KA-9104,27-DB-9104,23-KA-9103-M01,23-KA-9103,23-KA-9102-M01,23-KA-9102,23-KA-9101-M01,23-KA-9101,23-DB-9103,23-DB-9102,23-DB-9101,13-PA-9137-M01,13-PA-9137,13-PA-9103-M01,13-PA-9103,11-PA-9138-M01,11-PA-9138,11-PA-9102-M01,11-PA-9102,11-PA-9101B-M01,11-PA-9101B,11-PA-9101A-M01,11-PA-9101A,60-EG-8020,46-KA-8003,46-KA-8002,46-KA-8001,18-PA-8070-M01,18-PA-8070,18-PA-8050-M01,18-PA-8050,18-PA-8030-M01,18-PA-8030,18-PA-8010-M01,18-PA-8010,18-DB-8070,18-DB-8050,18-DB-8030,18-DB-8010","FAO-149224,FAO-144784,FAO-144783,FAO-144782,FAO-144781,FAO-144780,FAO-144779,FAO-144778,FAO-152853,FAO-152847,FAO-147648,FAO-147647,FAO-147646,FAO-147645,FAO-147644,FAO-147643,FAO-147642,FAO-147641,FAO-147640,FAO-147650,FAO-147649,FAO-150253,FAO-150252,FAO-150251,FAO-150250,FAO-150249,FAO-150248,FAO-150247,FAO-149225",VAL,Valhall plattform,NO,YES,*** vedlikehold,,ONSHORE CMR ***,,akerbp-cdp,1069085652989143
0.0,,Workpackage,VAL,akerbp-cdp,WMT:23-TIC-96148;WMT:23-FIC-92543;WMT:23-TIC-96147,46,100,1239,361,71,,,2017-01-01T00:00:00,,WPG-008421,"00,27-TIC-96447,23-TIC-96347,23-TIC-96247,23-TIC-96147,27-TIC-96448,23-TIC-96248,24-PIC-92831B,23-TIC-96348,23-TIC-96148,23-FIC-92643,42-TIC-93871,27-FIC-92943,24-FIC-92743,16-TIC-97207,13-FIC-93167B-01,13-FIC-93167A-01,23-FIC-92543,11-PIC-92155,11-FIC-92367B-01,11-FIC-92367A-01","FAO-123526,FAO-131150,FAO-131149,FAO-131148,FAO-131147,FAO-131146,FAO-127824,FAO-127823,FAO-127822,FAO-127821,FAO-127820,FAO-127819,FAO-127818,FAO-127817,FAO-127816,FAO-128716,FAO-128717,FAO-128715,FAO-128714,FAO-124125,FAO-126081,FAO-126080,FAO-126079,FAO-126078,FAO-126077,FAO-126076,FAO-123798,FAO-123782,FAO-124171,FAO-124170,FAO-124169,FAO-124168,FAO-124167,FAO-120799,FAO-120803,FAO-120802,FAO-120801,FAO-120800,FAO-120798,FAO-120797,FAO-120796,FAO-120795,FAO-123530,FAO-123529,FAO-123528,FAO-123527",VAL,Valhall plattform,NO,NO,Etablert,,ONSHORE CMR ***,,akerbp-cdp,4056048263816392
0.0,1468108800000.0,Workpackage,VAL,akerbp-cdp,WMT:VAL,2,600,79,0,100,2016-07-10T00:00:00,,,AFA-004768,WPG-007908,"VAL,B00","MAO-022645,MAO-022637",VAL,Valhall plattform,NO,YES,"Lukket, as-built ferdig",DP RIG ACCESS EAST (RAE),"***-***-*** - *** ON BRIDGES *** DP, PCP AND WP","*** of ***  *** - *** POWER *** TO ****** *** (*** ***) *** be *** and *** to *** for installation of *** new ***. No ***, *** MC check.",akerbp-cdp,8375008640384549
0.0,1468108800000.0,Workpackage,VAL,akerbp-cdp,WMT:VAL,2,600,79,0,100,2016-07-10T00:00:00,,,AFA-004768,WPG-007908,"VAL,B00","MAO-022645,MAO-022637",VAL,Valhall plattform,NO,YES,"Lukket, as-built ferdig",DP RIG ACCESS EAST (RAE),"***-***-*** - *** ON BRIDGES *** DP, PCP AND WP","*** of ***  *** - *** POWER *** TO ****** *** (*** ***) *** be *** and *** to *** for installation of *** new ***. No ***, *** MC check.",akerbp-cdp,8375008640384549
0.0,0.0,Workpackage,VAL,akerbp-cdp,WMT:23-TIC-96148;WMT:23-FIC-92543;WMT:23-TIC-96147,33,100,1016,220,78,,,2018-01-01T00:00:00,,WPG-009131,"00,27-TIC-96447,23-TIC-96347,23-TIC-96247,23-TIC-96147,27-TIC-96448,23-TIC-96248,24-PIC-92831B,23-TIC-96348,23-TIC-96148,23-FIC-92643,42-TIC-93871,27-FIC-92943,24-FIC-92743,16-TIC-97207,13-FIC-93167B-01,13-FIC-93167A-01,23-FIC-92543,11-PIC-92155,11-FIC-92367B-01,11-FIC-92367A-01","FAO-137393,FAO-142154,FAO-142153,FAO-142152,FAO-142151,FAO-142150,FAO-139625,FAO-139629,FAO-139628,FAO-139627,FAO-139626,FAO-139624,FAO-139623,FAO-139622,FAO-135261,FAO-135260,FAO-135259,FAO-135258,FAO-137431,FAO-137430,FAO-137110,FAO-135269,FAO-135268,FAO-135267,FAO-135266,FAO-135265,FAO-137108,FAO-132560,FAO-132559,FAO-132558,FAO-132557,FAO-132556,FAO-132555",VAL,Valhall plattform,NO,NO,Etablert,,ONSHORE CMR ***,,akerbp-cdp,4973221831068359
0.0,0.0,Workpackage,VAL,akerbp-cdp,WMT:23-TIC-96148;WMT:23-FIC-92543;WMT:23-TIC-96147,46,100,1239,361,71,,,2017-01-01T00:00:00,,WPG-008421,"00,27-TIC-96447,23-TIC-96347,23-TIC-96247,23-TIC-96147,27-TIC-96448,23-TIC-96248,24-PIC-92831B,23-TIC-96348,23-TIC-96148,23-FIC-92643,42-TIC-93871,27-FIC-92943,24-FIC-92743,16-TIC-97207,13-FIC-93167B-01,13-FIC-93167A-01,23-FIC-92543,11-PIC-92155,11-FIC-92367B-01,11-FIC-92367A-01","FAO-123526,FAO-131150,FAO-131149,FAO-131148,FAO-131147,FAO-131146,FAO-127824,FAO-127823,FAO-127822,FAO-127821,FAO-127820,FAO-127819,FAO-127818,FAO-127817,FAO-127816,FAO-128716,FAO-128717,FAO-128715,FAO-128714,FAO-124125,FAO-126081,FAO-126080,FAO-126079,FAO-126078,FAO-126077,FAO-126076,FAO-123798,FAO-123782,FAO-124171,FAO-124170,FAO-124169,FAO-124168,FAO-124167,FAO-120799,FAO-120803,FAO-120802,FAO-120801,FAO-120800,FAO-120798,FAO-120797,FAO-120796,FAO-120795,FAO-123530,FAO-123529,FAO-123528,FAO-123527",VAL,Valhall plattform,NO,NO,Etablert,,ONSHORE CMR ***,,akerbp-cdp,4056048263816392
0.0,,Workpackage,VAL,akerbp-cdp,WMT:23-KA-9101-M01;WMT:23-KA-9101;WMT:23-DB-9101,29,200,814,87,89,,,2019-01-01T00:00:00,,WPG-009220,"00,46-PA-8004,46-KA-8004,65-GK-9564B,65-GK-9564A,65-GK-9702B,65-GK-9564A-M01,65-GK-9900B,65-GK-9701B-M01,65-GK-9900A,65-GK-9702B-M01,65-GK-9702A-M01,65-GK-9701B,65-GK-9701A-M01,65-GK-9701A,65-GK-9564B-M01,47-PA-9815,47-PA-9810B,47-PA-9810A,47-KC-9800B,47-KC-9800A,80-PA-8015B,80-PA-8015A,85-PB-9134B-M01,85-PB-9134A-M01,85-PA-9162-M01,85-PA-9162,85-PA-9135B,85-PA-9135A,85-PA-9134,85-PA-9133,85-PA-9118B,85-PA-9118A,84-PX-9101B-M01,84-PX-9101A-M01,81-PA-9115B,81-PA-9115A,81-PA-9113B,81-PA-9113A,65-GK-9900B-M01,65-GK-9900A-M01,60-EG-9103,60-EG-9102,48-PA-9117B,48-PA-9117A,47-PA-9140,47-PA-9108B,47-PA-9108A,47-PA-9107B,47-PA-9107A,45-PA-9106B-M01,45-PA-9106B,45-PA-9106A-M01,45-PA-9106A,40-PA-9145,40-PA-9105B,40-PA-9105A,32-PB-9115B,32-PB-9115A,31-PA-9124B,31-PA-9124A,31-PA-9104B,31-PA-9104A,27-KA-9104-M01,27-KA-9104,27-DB-9104,23-KA-9103-M01,23-KA-9103,23-KA-9102-M01,23-KA-9102,23-KA-9101-M01,23-KA-9101,23-DB-9103,23-DB-9102,23-DB-9101,13-PA-9137-M01,13-PA-9137,13-PA-9103-M01,13-PA-9103,11-PA-9138-M01,11-PA-9138,11-PA-9102-M01,11-PA-9102,11-PA-9101B-M01,11-PA-9101B,11-PA-9101A-M01,11-PA-9101A,60-EG-8020,46-KA-8003,46-KA-8002,46-KA-8001,18-PA-8070-M01,18-PA-8070,18-PA-8050-M01,18-PA-8050,18-PA-8030-M01,18-PA-8030,18-PA-8010-M01,18-PA-8010,18-DB-8070,18-DB-8050,18-DB-8030,18-DB-8010","FAO-149224,FAO-144784,FAO-144783,FAO-144782,FAO-144781,FAO-144780,FAO-144779,FAO-144778,FAO-152853,FAO-152847,FAO-147648,FAO-147647,FAO-147646,FAO-147645,FAO-147644,FAO-147643,FAO-147642,FAO-147641,FAO-147640,FAO-147650,FAO-147649,FAO-150253,FAO-150252,FAO-150251,FAO-150250,FAO-150249,FAO-150248,FAO-150247,FAO-149225",VAL,Valhall plattform,NO,YES,*** vedlikehold,,ONSHORE CMR ***,,akerbp-cdp,1069085652989143
0.0,0.0,Workpackage,VAL,akerbp-cdp,WMT:45-FO-96130,173,200,16875,3,100,,,2013-06-06T00:00:00,,WPG-005637,"45,45-FO-96130,45-FO-96430,45-FO-96230,45-FO-96330","IAO-019868,KAO-108238,KAO-106971,KAO-106193,MAO-017747,MAO-017746,KAO-102544,FAO-077676,KAO-105027,KAO-100862,FAO-077686,MAO-018113,KAO-094177,KAO-107885,KAO-108571,MAO-018194,KAO-104578,FAO-077531,KAO-106356,KAO-074637,KAO-105420,FAO-077689,KAO-107810,KAO-106468,KAO-106461,KAO-106038,KAO-105769,KAO-107655,FAO-080698,KAO-096070,FAO-077680,MAO-018513,FAO-080684,MAO-018031,MAO-018030,KAO-105504,FAO-077687,FAO-078310,FAO-078309,MAO-018157,FAO-079009,MAO-018151,MAO-018150,KAO-102706,MAO-018323,MAO-018298,FAO-077530,KAO-101770,KAO-101769,FAO-082263,IAO-019825,IAO-019822,KAO-106727,KAO-102527,KAO-106203,MAO-017815,FAO-080700,KAO-104701,FAO-079310,KAO-104204,FAO-077529,FAO-077526,FAO-077525,FAO-077524,KAO-101848,KAO-101906,KAO-108208,FAO-077519,KAO-105282,FAO-077694,FAO-077693,MAO-017849,MAO-017848,KAO-104552,FAO-071402,MAO-018250,MAO-018249,FAO-080680,FAO-080679,FAO-080682,FAO-080681,KAO-104480,KAO-104248,MAO-016691,IAO-019967,KAO-101700,IAO-019824,MAO-017919,MAO-017918,MAO-017917,MAO-017916,MAO-017915,MAO-017914,FAO-077681,KAO-104584,KAO-103978,MAO-018382,MAO-018381,MAO-018380,KAO-102983,MAO-018319,MAO-018318,KAO-102215,FAO-077684,KAO-104622,KAO-106443,FAO-077668,FAO-077670,FAO-077522,FAO-077521,FAO-077514,FAO-077682,KAO-106458,KAO-105981,MAO-018314,MAO-018313,MAO-018312,MAO-018311,MAO-018310,MAO-018309,MAO-018308,MAO-018349,MAO-018347,MAO-018346,FAO-077516,FAO-077677,FAO-077675,FAO-077527,IAO-020433,KAO-106595,FAO-077691,FAO-077690,KAO-094056,FAO-077517,FAO-077523,MAO-018345,MAO-018341,MAO-018339,IAO-019826,FAO-077683,MAO-018307,FAO-077688,FAO-077685,KAO-106122,KAO-104753,FAO-077518,FAO-077669,IAO-019964,MAO-018501,KAO-103678,FAO-077671,FAO-077515,FAO-077513,KAO-097958,KAO-092865,KAO-092867,FAO-077692,IAO-019966,IAO-019965,FAO-078308,FAO-078307,FAO-078300,FAO-078297,IAO-019823,MAO-017238,MAO-017237,MAO-017236,MAO-017235,KAO-104569,FAO-078306,MAO-018117,KAO-107868,FAO-080678",VAL,Valhall plattform,NO,YES,*** vedlikehold,,VALHALL TAR ***, *** to be *** *** TAR ***,akerbp-cdp,2789725387740229
0.0,,Workpackage,VAL,akerbp-cdp,WMT:45-FO-96130,173,200,16875,3,100,,,2013-06-06T00:00:00,,WPG-005637,"45,45-FO-96130,45-FO-96430,45-FO-96230,45-FO-96330","IAO-019868,KAO-108238,KAO-106971,KAO-106193,MAO-017747,MAO-017746,KAO-102544,FAO-077676,KAO-105027,KAO-100862,FAO-077686,MAO-018113,KAO-094177,KAO-107885,KAO-108571,MAO-018194,KAO-104578,FAO-077531,KAO-106356,KAO-074637,KAO-105420,FAO-077689,KAO-107810,KAO-106468,KAO-106461,KAO-106038,KAO-105769,KAO-107655,FAO-080698,KAO-096070,FAO-077680,MAO-018513,FAO-080684,MAO-018031,MAO-018030,KAO-105504,FAO-077687,FAO-078310,FAO-078309,MAO-018157,FAO-079009,MAO-018151,MAO-018150,KAO-102706,MAO-018323,MAO-018298,FAO-077530,KAO-101770,KAO-101769,FAO-082263,IAO-019825,IAO-019822,KAO-106727,KAO-102527,KAO-106203,MAO-017815,FAO-080700,KAO-104701,FAO-079310,KAO-104204,FAO-077529,FAO-077526,FAO-077525,FAO-077524,KAO-101848,KAO-101906,KAO-108208,FAO-077519,KAO-105282,FAO-077694,FAO-077693,MAO-017849,MAO-017848,KAO-104552,FAO-071402,MAO-018250,MAO-018249,FAO-080680,FAO-080679,FAO-080682,FAO-080681,KAO-104480,KAO-104248,MAO-016691,IAO-019967,KAO-101700,IAO-019824,MAO-017919,MAO-017918,MAO-017917,MAO-017916,MAO-017915,MAO-017914,FAO-077681,KAO-104584,KAO-103978,MAO-018382,MAO-018381,MAO-018380,KAO-102983,MAO-018319,MAO-018318,KAO-102215,FAO-077684,KAO-104622,KAO-106443,FAO-077668,FAO-077670,FAO-077522,FAO-077521,FAO-077514,FAO-077682,KAO-106458,KAO-105981,MAO-018314,MAO-018313,MAO-018312,MAO-018311,MAO-018310,MAO-018309,MAO-018308,MAO-018349,MAO-018347,MAO-018346,FAO-077516,FAO-077677,FAO-077675,FAO-077527,IAO-020433,KAO-106595,FAO-077691,FAO-077690,KAO-094056,FAO-077517,FAO-077523,MAO-018345,MAO-018341,MAO-018339,IAO-019826,FAO-077683,MAO-018307,FAO-077688,FAO-077685,KAO-106122,KAO-104753,FAO-077518,FAO-077669,IAO-019964,MAO-018501,KAO-103678,FAO-077671,FAO-077515,FAO-077513,KAO-097958,KAO-092865,KAO-092867,FAO-077692,IAO-019966,IAO-019965,FAO-078308,FAO-078307,FAO-078300,FAO-078297,IAO-019823,MAO-017238,MAO-017237,MAO-017236,MAO-017235,KAO-104569,FAO-078306,MAO-018117,KAO-107868,FAO-080678",VAL,Valhall plattform,NO,YES,*** vedlikehold,,VALHALL TAR ***, *** to be *** *** TAR ***,akerbp-cdp,2789725387740229
0.0,,Workpackage,VAL,akerbp-cdp,WMT:23-TIC-96148;WMT:23-FIC-92543;WMT:23-TIC-96147,33,100,1016,220,78,,,2018-01-01T00:00:00,,WPG-009131,"00,27-TIC-96447,23-TIC-96347,23-TIC-96247,23-TIC-96147,27-TIC-96448,23-TIC-96248,24-PIC-92831B,23-TIC-96348,23-TIC-96148,23-FIC-92643,42-TIC-93871,27-FIC-92943,24-FIC-92743,16-TIC-97207,13-FIC-93167B-01,13-FIC-93167A-01,23-FIC-92543,11-PIC-92155,11-FIC-92367B-01,11-FIC-92367A-01","FAO-137393,FAO-142154,FAO-142153,FAO-142152,FAO-142151,FAO-142150,FAO-139625,FAO-139629,FAO-139628,FAO-139627,FAO-139626,FAO-139624,FAO-139623,FAO-139622,FAO-135261,FAO-135260,FAO-135259,FAO-135258,FAO-137431,FAO-137430,FAO-137110,FAO-135269,FAO-135268,FAO-135267,FAO-135266,FAO-135265,FAO-137108,FAO-132560,FAO-132559,FAO-132558,FAO-132557,FAO-132556,FAO-132555",VAL,Valhall plattform,NO,NO,Etablert,,ONSHORE CMR ***,,akerbp-cdp,4973221831068359
