startTime,endTime,type,subtype,source,assetExternalIds,KEY,source,sourceId,WORKORDER_NUMBER,WORKORDER_STATUS,WORKORDER_ISACTIVE,WORKORDER_TASKDESC,WORKORDER_TASKNAME,WORKORDER_TASKNUMBER,WORKORDER_TASKISCOMPLETED,WORKORDER_TISLOCATIONCODE,WORKORDER_TASKPREDECTASKNO,WORKORDER_TASKSHUTDOWNDESC,WORKORDER_STATUSISCOMPLETED,WORKORDER_TASKCOMPLETEDDATE,WORKORDER_TASKDURATIONHOURS,WORKORDER_TASKDISCIPLINEDESC,WORKORDER_TASKPREDECTASKNAME,WORKORDER_TASKREMAININGHOURS,WORKORDER_TASKPREDECDEPENDENCY
1330239600000,1330366377000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-070700_1,akerbp-cdp,6327721503189568,FAO-070700,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,11,Mekanisk,,0,
1330444164000,1330885265000.0,Worktask,VAL,akerbp-cdp,WMT:48-SU-9113,VAL_KAO-092799_1,akerbp-cdp,8826738206731951,KAO-092799,600,NO,,Sjekke ***,1,YES,VAL,,Utstyrs nedstenging,YES,2012-03-04T18:19:50,100,Automasjon,,0,
1330585200000,1330971694000.0,Worktask,VAL,akerbp-cdp,WMT:48-PCV-96964;WMT:48-LG-96960;WMT:23-SU-9106;WMT:48-SU-9105;WMT:48-SU-9106;WMT:23-SU-9105,VAL_FAO-070704_01,akerbp-cdp,7869996827821774,FAO-070704,600,NO,Utfør rutine ***(PH)***,*** MND AUTO. Kontroll av N2 Trykk,01,YES,VAL,,Utstyrs nedstenging,YES,,2,Automasjon,,0,
1333004400000,1333045343000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-070738_1,akerbp-cdp,2041527597529357,FAO-070738,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,4,Mekanisk,,0,
1333263600000,1332664856000.0,Worktask,VAL,akerbp-cdp,WMT:23-GO-9115;WMT:48-XY-96966B;WMT:48-ZSH-96966A;WMT:48-ZSL-96966B;WMT:23-GO-9114;WMT:48-ZSH-96966B;WMT:48-ZSL-96966A;WMT:48-XY-96966A,VAL_FAO-070770_01,akerbp-cdp,5797159544003945,FAO-070770,600,NO,Utfør kontroll *** henhold til PM rutine ***(PH)***,Funksjonstest av ***,01,YES,VAL,,Utstyrs nedstenging,YES,,2,Drift,,0,
1334214000000,1334420216000.0,Worktask,VAL,akerbp-cdp,WMT:48-PCV-96964;WMT:48-LG-96960;WMT:23-SU-9106;WMT:48-SU-9105;WMT:48-SU-9106;WMT:23-SU-9105,VAL_FAO-070737_01,akerbp-cdp,4296000591344231,FAO-070737,600,NO,Utfør rutine ***(PH)***,*** MND AUTO. Kontroll av N2 Trykk,01,YES,VAL,,Utstyrs nedstenging,YES,,2,Automasjon,,0,
1335423600000,1335260066000.0,Worktask,VAL,akerbp-cdp,WMT:48-PCV-96964;WMT:48-LG-96960;WMT:48-XI-96964A;WMT:48-XI-96964B;WMT:48-SU-9105;WMT:48-SU-9106,VAL_FAO-071167_03,akerbp-cdp,826859444709203,FAO-071167,600,NO,Utfør kontroll *** henhold til PM rutine ***(PH)*** og ***(PH)*** og ***(PH)***,*** MND AUTO. Kontroll og funksjonstest manuelle utløsere/alarmlys,03,YES,VAL,,Under drift,YES,2012-04-24T09:33:20,4,Automasjon,,0,
1335423600000,1334685837000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-071165_1,akerbp-cdp,6794047170400695,FAO-071165,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,4,Mekanisk,,0,
1338015600000,1337790468000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-071979_1,akerbp-cdp,3282447845037217,FAO-071979,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,4,Mekanisk,,0,
1340694000000,1340211933000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-073479_1,akerbp-cdp,4365936900936828,FAO-073479,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,4,Mekanisk,,0,
