name,source,mime_type,labels,uploaded,uploaded_time,external_id,original_file_id,0
PH-ME-P-0156-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.690,,,
trainff.mp4,Cognite Data Fusion,video/mp4,,True,2024-01-08 15:43:34.695,,,
PH-ME-P-0151-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:13.672,,,
PH-25578-P-4110010-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.501,,,
PH-ME-P-0153-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:09.204,,,
PH-ME-P-0160-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.144,,,
PH-ME-P-0003-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:09.325,,,
PH-25578-P-4110006-001.pdf,Discovery,application/pdf,,True,2020-04-15 11:22:10.106,,,
PH-ME-P-0004-001.pdf,Discovery,application/pdf,,True,2020-04-15 11:22:09.424,,,
PH-ME-P-0152-001.pdf,Discovery,application/pdf,,True,2020-04-15 11:22:10.652,,,
PH-25578-P-4110119-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.124,,,
PH-ME-P-0156-002.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.695,,,
